,subject,net2,MeanBVC
0,CC110033,Aud.,0.13817729703814166
1,CC110033,CON,0.15343241819488557
2,CC110033,DAN,0.11892299153298662
3,CC110033,DMN,0.13224261902982454
4,CC110033,FPN,0.14709355154162046
5,CC110033,Motor,0.14797479225467242
6,CC110033,SAN,0.12974862480113053
7,CC110033,Subc.,0.142860590435936
8,CC110033,VAN,0.11562531337133683
9,CC110033,Vis.,0.14590799197279267
10,CC110033,Whole Brain,0.13662893772061874
11,CC110037,Aud.,0.130362230570976
12,CC110037,CON,0.15257175763645336
13,CC110037,DAN,0.1324755965064987
14,CC110037,DMN,0.14127301601477305
15,CC110037,FPN,0.16607526333641212
16,CC110037,Motor,0.11428013668624126
17,CC110037,SAN,0.14321167699190457
18,CC110037,Subc.,0.12895138494149277
19,CC110037,VAN,0.1251274328519893
20,CC110037,Vis.,0.1369125742619228
21,CC110037,Whole Brain,0.1373740580952818
22,CC110045,Aud.,0.12894410011300578
23,CC110045,CON,0.13527800964780462
24,CC110045,DAN,0.15117565902421287
25,CC110045,DMN,0.13988716449215693
26,CC110045,FPN,0.140577194476386
27,CC110045,Motor,0.13734435600952843
28,CC110045,SAN,0.12981334384504514
29,CC110045,Subc.,0.12837301850624816
30,CC110045,VAN,0.14550648786521023
31,CC110045,Vis.,0.13514254911445814
32,CC110045,Whole Brain,0.1365732447998899
33,CC110056,Aud.,0.15613623469605803
34,CC110056,CON,0.14270406325883964
35,CC110056,DAN,0.15481832992336225
36,CC110056,DMN,0.13910915369429955
37,CC110056,FPN,0.1364392658539127
38,CC110056,Motor,0.1400140146096617
39,CC110056,SAN,0.13966680212391475
40,CC110056,Subc.,0.11450762502065952
41,CC110056,VAN,0.12179845423583376
42,CC110056,Vis.,0.12656501797128678
43,CC110056,Whole Brain,0.1368561665061171
44,CC110069,Aud.,0.15902722586453527
45,CC110069,CON,0.12516140620151325
46,CC110069,DAN,0.13332862506646195
47,CC110069,DMN,0.14336378621871174
48,CC110069,FPN,0.1262217941832485
49,CC110069,Motor,0.1295238272717414
50,CC110069,SAN,0.12382774025991486
51,CC110069,Subc.,0.12859932799389986
52,CC110069,VAN,0.1712429799613478
53,CC110069,Vis.,0.1338840102257087
54,CC110069,Whole Brain,0.13443440464686268
55,CC110087,Aud.,0.14379621000256723
56,CC110087,CON,0.13124484880315324
57,CC110087,DAN,0.1541545960347199
58,CC110087,DMN,0.14095806051994514
59,CC110087,FPN,0.12894647964322964
60,CC110087,Motor,0.12822578307035273
61,CC110087,SAN,0.13742772456887445
62,CC110087,Subc.,0.12702775066912092
63,CC110087,VAN,0.14485147163366036
64,CC110087,Vis.,0.13607614392872422
65,CC110087,Whole Brain,0.13590605901959835
66,CC110098,Aud.,0.14366669091997977
67,CC110098,CON,0.15582017502994475
68,CC110098,DAN,0.13917810927977964
69,CC110098,DMN,0.14101335864346423
70,CC110098,FPN,0.1322628639220496
71,CC110098,Motor,0.13271733201073704
72,CC110098,SAN,0.14348037317762583
73,CC110098,Subc.,0.12501228003103665
74,CC110098,VAN,0.1357550239738516
75,CC110098,Vis.,0.12398345640776717
76,CC110098,Whole Brain,0.1357254644977094
77,CC110101,Aud.,0.13899794768525864
78,CC110101,CON,0.11610553031316347
79,CC110101,DAN,0.1448453754341654
80,CC110101,DMN,0.1403881582816755
81,CC110101,FPN,0.1465117814797979
82,CC110101,Motor,0.1359519405395347
83,CC110101,SAN,0.13197519977869215
84,CC110101,Subc.,0.1388811648657482
85,CC110101,VAN,0.13938098073118077
86,CC110101,Vis.,0.1382169176113519
87,CC110101,Whole Brain,0.1373601311733773
88,CC110126,Aud.,0.15116736240602574
89,CC110126,CON,0.135856569006313
90,CC110126,DAN,0.15705603082025205
91,CC110126,DMN,0.14672655769495796
92,CC110126,FPN,0.14610736149174092
93,CC110126,Motor,0.12124499094252253
94,CC110126,SAN,0.1362160308083819
95,CC110126,Subc.,0.12310121653343846
96,CC110126,VAN,0.11954440066636507
97,CC110126,Vis.,0.13461414006265898
98,CC110126,Whole Brain,0.1369804674612894
99,CC110174,Aud.,0.14503507675835361
100,CC110174,CON,0.13092715810129962
101,CC110174,DAN,0.13922719563932712
102,CC110174,DMN,0.14287992084783568
103,CC110174,FPN,0.1439149911426012
104,CC110174,Motor,0.14210461945142078
105,CC110174,SAN,0.14035583814091576
106,CC110174,Subc.,0.11491233973430168
107,CC110174,VAN,0.13623797401642562
108,CC110174,Vis.,0.13489656295379224
109,CC110174,Whole Brain,0.13812345110767266
110,CC110182,Aud.,0.1524031171815249
111,CC110182,CON,0.13491113627998827
112,CC110182,DAN,0.1347097672467585
113,CC110182,DMN,0.14269130555263443
114,CC110182,FPN,0.13063935333351342
115,CC110182,Motor,0.13632489435267373
116,CC110182,SAN,0.13098771425174718
117,CC110182,Subc.,0.1272687004181107
118,CC110182,VAN,0.15389750729217047
119,CC110182,Vis.,0.12929820812703693
120,CC110182,Whole Brain,0.13548342385778717
121,CC110187,Aud.,0.13729700064420897
122,CC110187,CON,0.1301802924827777
123,CC110187,DAN,0.1420748518153105
124,CC110187,DMN,0.13518103443484808
125,CC110187,FPN,0.141758131491623
126,CC110187,Motor,0.1415683383052715
127,CC110187,SAN,0.14503686987655057
128,CC110187,Subc.,0.14122451207584125
129,CC110187,VAN,0.12640119801995198
130,CC110187,Vis.,0.13192519977837844
131,CC110187,Whole Brain,0.13596769896918376
132,CC110319,Aud.,0.1437201455502408
133,CC110319,CON,0.13438173698061756
134,CC110319,DAN,0.13722124998261617
135,CC110319,DMN,0.1342191651173963
136,CC110319,FPN,0.12836431893383507
137,CC110319,Motor,0.14721286182927218
138,CC110319,SAN,0.11890767721018432
139,CC110319,Subc.,0.1316822880079576
140,CC110319,VAN,0.16116929878265837
141,CC110319,Vis.,0.13663038540267616
142,CC110319,Whole Brain,0.13510600009649157
143,CC110411,Aud.,0.1433028772359563
144,CC110411,CON,0.15201079005757892
145,CC110411,DAN,0.11760996063815769
146,CC110411,DMN,0.13012931881161358
147,CC110411,FPN,0.14159863270351955
148,CC110411,Motor,0.14168397893262055
149,CC110411,SAN,0.138123003906028
150,CC110411,Subc.,0.14632260916113543
151,CC110411,VAN,0.12924342725104188
152,CC110411,Vis.,0.133605153606284
153,CC110411,Whole Brain,0.13498537559000995
154,CC110606,Aud.,0.1476567666735133
155,CC110606,CON,0.13550029551855303
156,CC110606,DAN,0.13950188164688385
157,CC110606,DMN,0.14144648069385204
158,CC110606,FPN,0.13392735848303516
159,CC110606,Motor,0.1276028316172324
160,CC110606,SAN,0.13230122320748877
161,CC110606,Subc.,0.13599229206421906
162,CC110606,VAN,0.13670445956750735
163,CC110606,Vis.,0.14145669651245898
164,CC110606,Whole Brain,0.1365248419092018
165,CC112141,Aud.,0.14707040290083104
166,CC112141,CON,0.13570532644058866
167,CC112141,DAN,0.13579108200223594
168,CC112141,DMN,0.13867857999665797
169,CC112141,FPN,0.1375281699421032
170,CC112141,Motor,0.13173321807885313
171,CC112141,SAN,0.13146928614558812
172,CC112141,Subc.,0.14229086573655256
173,CC112141,VAN,0.1324357220342403
174,CC112141,Vis.,0.13935682652211082
175,CC112141,Whole Brain,0.1365556480941843
176,CC120008,Aud.,0.14708838465159138
177,CC120008,CON,0.13804061497803327
178,CC120008,DAN,0.14432086466340371
179,CC120008,DMN,0.1310051691300405
180,CC120008,FPN,0.13489340535611768
181,CC120008,Motor,0.1421678214811768
182,CC120008,SAN,0.11926421804944076
183,CC120008,Subc.,0.13924831852794708
184,CC120008,VAN,0.13969493302960034
185,CC120008,Vis.,0.13865559131318755
186,CC120008,Whole Brain,0.13423580671340674
187,CC120049,Aud.,0.13965274774327155
188,CC120049,CON,0.12482023770164366
189,CC120049,DAN,0.14366910742935685
190,CC120049,DMN,0.13942514757423471
191,CC120049,FPN,0.12396908315834594
192,CC120049,Motor,0.13670693699163533
193,CC120049,SAN,0.13466223110046377
194,CC120049,Subc.,0.13748956804520812
195,CC120049,VAN,0.15539114584301286
196,CC120049,Vis.,0.1368617530616015
197,CC120049,Whole Brain,0.13596716924517174
198,CC120061,Aud.,0.14216570989955046
199,CC120061,CON,0.12213939371167223
200,CC120061,DAN,0.15030104847798517
201,CC120061,DMN,0.13822151473088234
202,CC120061,FPN,0.13583437152755212
203,CC120061,Motor,0.12326057077487965
204,CC120061,SAN,0.1344628761469815
205,CC120061,Subc.,0.1449551606750794
206,CC120061,VAN,0.14401631233916398
207,CC120061,Vis.,0.13848246804251882
208,CC120061,Whole Brain,0.1347757015676801
209,CC120065,Aud.,0.14273866079601255
210,CC120065,CON,0.13483187194889842
211,CC120065,DAN,0.1387418428189589
212,CC120065,DMN,0.13870088756597418
213,CC120065,FPN,0.14250212880284469
214,CC120065,Motor,0.13093392996560493
215,CC120065,SAN,0.13213110068350856
216,CC120065,Subc.,0.1258662486663314
217,CC120065,VAN,0.14394788235595188
218,CC120065,Vis.,0.14192062558125737
219,CC120065,Whole Brain,0.13629994870860312
220,CC120120,Aud.,0.16288131689883656
221,CC120120,CON,0.1408602785759415
222,CC120120,DAN,0.13722414181510048
223,CC120120,DMN,0.1294958194902399
224,CC120120,FPN,0.13616811045728033
225,CC120120,Motor,0.1324714832056741
226,CC120120,SAN,0.12539176226576093
227,CC120120,Subc.,0.11999292291543943
228,CC120120,VAN,0.16091177399675047
229,CC120120,Vis.,0.1306621983782708
230,CC120120,Whole Brain,0.1325553198946518
231,CC120123,Aud.,0.14914048921682915
232,CC120123,CON,0.1439199226338209
233,CC120123,DAN,0.15176779639678634
234,CC120123,DMN,0.13664584043520867
235,CC120123,FPN,0.1284892613050296
236,CC120123,Motor,0.11551091190709188
237,CC120123,SAN,0.14909693870605645
238,CC120123,Subc.,0.1341648787534992
239,CC120123,VAN,0.131691010891809
240,CC120123,Vis.,0.13428411492975265
241,CC120123,Whole Brain,0.1339039627180621
242,CC120166,Aud.,0.1402939481202695
243,CC120166,CON,0.1452981184676232
244,CC120166,DAN,0.1321744324389302
245,CC120166,DMN,0.14502407204143453
246,CC120166,FPN,0.12862857872457867
247,CC120166,Motor,0.13438784857245425
248,CC120166,SAN,0.14575367565148906
249,CC120166,Subc.,0.1311856734463029
250,CC120166,VAN,0.14117716962274005
251,CC120166,Vis.,0.12962147204472466
252,CC120166,Whole Brain,0.13507013876339904
253,CC120182,Aud.,0.14751158449664747
254,CC120182,CON,0.13641349611343376
255,CC120182,DAN,0.14565837539383053
256,CC120182,DMN,0.13151046934163588
257,CC120182,FPN,0.1350617958973291
258,CC120182,Motor,0.13262202431357267
259,CC120182,SAN,0.12752295296504282
260,CC120182,Subc.,0.12970081747303447
261,CC120182,VAN,0.1475933478048428
262,CC120182,Vis.,0.14058291210071466
263,CC120182,Whole Brain,0.1344373519938616
264,CC120208,Aud.,0.15776975162552528
265,CC120208,CON,0.14102594538779534
266,CC120208,DAN,0.1473958500861644
267,CC120208,DMN,0.13918043814188874
268,CC120208,FPN,0.12888114616279278
269,CC120208,Motor,0.12476183900780287
270,CC120208,SAN,0.13469060506035666
