,subject,net1,net2,MeanGVC
0,CC110033,FPN,FPN,174.08600229021923
1,CC110033,FPN,CON,209.88549912183944
2,CC110033,FPN,SAN,195.97173027396857
3,CC110033,FPN,VAN,221.2129565074
4,CC110033,FPN,DAN,215.1651688241203
5,CC110033,FPN,DMN,212.03220929487472
6,CC110033,FPN,Motor,219.31839670428008
7,CC110033,FPN,Aud.,227.0474542048183
8,CC110033,FPN,Vis.,193.5257641670755
9,CC110033,FPN,Subc.,186.61159644402576
10,CC110033,FPN,Whole Brain,204.8271941052434
11,CC110033,CON,FPN,218.8055176979719
12,CC110033,CON,CON,152.09249691047864
13,CC110033,CON,SAN,190.31971599524428
14,CC110033,CON,VAN,228.32540555324178
15,CC110033,CON,DAN,218.49218690628678
16,CC110033,CON,DMN,229.4061888369758
17,CC110033,CON,Motor,192.9352046177054
18,CC110033,CON,Aud.,225.03963928400992
19,CC110033,CON,Vis.,234.95636263180833
20,CC110033,CON,Subc.,231.5326849757673
21,CC110033,CON,Whole Brain,214.84288201784545
22,CC110033,SAN,FPN,216.9104075124644
23,CC110033,SAN,CON,192.17656629300123
24,CC110033,SAN,SAN,183.02808425260858
25,CC110033,SAN,VAN,231.97619348847718
26,CC110033,SAN,DAN,219.00035085014503
27,CC110033,SAN,DMN,227.3807185897507
28,CC110033,SAN,Motor,211.01390905753593
29,CC110033,SAN,Aud.,220.94186450702276
30,CC110033,SAN,Vis.,238.6049161724939
31,CC110033,SAN,Subc.,228.3381087615069
32,CC110033,SAN,Whole Brain,218.9888785765331
33,CC110033,VAN,FPN,170.0483578218903
34,CC110033,VAN,CON,166.2386323802045
35,CC110033,VAN,SAN,164.7264224357101
36,CC110033,VAN,VAN,132.4035836823153
37,CC110033,VAN,DAN,152.4526171535137
38,CC110033,VAN,DMN,173.83938080445992
39,CC110033,VAN,Motor,156.6849635027146
40,CC110033,VAN,Aud.,184.4286109927862
41,CC110033,VAN,Vis.,164.70560259823645
42,CC110033,VAN,Subc.,169.48245825706334
43,CC110033,VAN,Whole Brain,166.20677016624185
44,CC110033,DAN,FPN,186.44070977726835
45,CC110033,DAN,CON,189.85602632252207
46,CC110033,DAN,SAN,187.88030174160505
47,CC110033,DAN,VAN,178.59446821638542
48,CC110033,DAN,DAN,165.4366608011801
49,CC110033,DAN,DMN,189.86410300765263
50,CC110033,DAN,Motor,191.50197773366867
51,CC110033,DAN,Aud.,190.6922131995711
52,CC110033,DAN,Vis.,189.8379891523887
53,CC110033,DAN,Subc.,191.69545081209776
54,CC110033,DAN,Whole Brain,188.12715143157467
55,CC110033,DMN,FPN,198.2864226116094
56,CC110033,DMN,CON,208.03708370376182
57,CC110033,DMN,SAN,197.62610563173754
58,CC110033,DMN,VAN,215.46854627359386
59,CC110033,DMN,DAN,205.41749904503487
60,CC110033,DMN,DMN,189.99635502229012
61,CC110033,DMN,Motor,216.35254017746868
62,CC110033,DMN,Aud.,203.03151736474442
63,CC110033,DMN,Vis.,204.38257926097432
64,CC110033,DMN,Subc.,208.91534625936094
65,CC110033,DMN,Whole Brain,202.12104284323846
66,CC110033,Motor,FPN,205.88141389340745
67,CC110033,Motor,CON,184.9067997221524
68,CC110033,Motor,SAN,194.59498731185752
69,CC110033,Motor,VAN,207.22278500111472
70,CC110033,Motor,DAN,206.6219879660046
71,CC110033,Motor,DMN,219.30315869892883
72,CC110033,Motor,Motor,171.70006073033883
73,CC110033,Motor,Aud.,221.45899082440573
74,CC110033,Motor,Vis.,208.66322548980165
75,CC110033,Motor,Subc.,195.36086248476636
76,CC110033,Motor,Whole Brain,202.72741251229425
77,CC110033,Aud.,FPN,200.1255065127877
78,CC110033,Aud.,CON,189.01117046990336
79,CC110033,Aud.,SAN,187.37930432190757
80,CC110033,Aud.,VAN,206.17775943119466
81,CC110033,Aud.,DAN,188.03851907058433
82,CC110033,Aud.,DMN,190.25454257121044
83,CC110033,Aud.,Motor,206.2285282216031
84,CC110033,Aud.,Aud.,175.83950634638123
85,CC110033,Aud.,Vis.,206.89194042899607
86,CC110033,Aud.,Subc.,202.0579337626611
87,CC110033,Aud.,Whole Brain,196.05696718133245
88,CC110033,Vis.,FPN,187.65714560764278
89,CC110033,Vis.,CON,216.6740305972153
90,CC110033,Vis.,SAN,214.19712755310664
91,CC110033,Vis.,VAN,213.7642294589608
92,CC110033,Vis.,DAN,217.81952634986416
93,CC110033,Vis.,DMN,212.83181127253067
94,CC110033,Vis.,Motor,222.01939256224367
95,CC110033,Vis.,Aud.,228.19336847334603
96,CC110033,Vis.,Vis.,179.70175532608306
97,CC110033,Vis.,Subc.,181.02879383455408
98,CC110033,Vis.,Whole Brain,206.5337285158335
99,CC110033,Subc.,FPN,201.6754779273615
100,CC110033,Subc.,CON,229.9545623792784
101,CC110033,Subc.,SAN,229.02101467902622
102,CC110033,Subc.,VAN,241.52847220110715
103,CC110033,Subc.,DAN,239.11723975050236
104,CC110033,Subc.,DMN,234.34179633148304
105,CC110033,Subc.,Motor,220.33816207700121
106,CC110033,Subc.,Aud.,241.88107986771854
107,CC110033,Subc.,Vis.,193.12459208466538
108,CC110033,Subc.,Subc.,167.42222975062643
109,CC110033,Subc.,Whole Brain,219.27677145816872
110,CC110033,Whole Brain,FPN,196.7662853590426
111,CC110033,Whole Brain,CON,198.97941110035777
112,CC110033,Whole Brain,SAN,197.2205701883347
113,CC110033,Whole Brain,VAN,212.95929507295904
114,CC110033,Whole Brain,DAN,207.39663589160364
115,CC110033,Whole Brain,DMN,207.45866458873232
116,CC110033,Whole Brain,Motor,205.14009843030536
117,CC110033,Whole Brain,Aud.,214.1623726133448
118,CC110033,Whole Brain,Vis.,202.43552433406754
119,CC110033,Whole Brain,Subc.,198.4703876690089
120,CC110033,Whole Brain,Whole Brain,203.9420868398487
121,CC110037,FPN,FPN,192.25021748341027
122,CC110037,FPN,CON,224.64800955828682
123,CC110037,FPN,SAN,225.41563932392933
124,CC110037,FPN,VAN,235.44862647452348
125,CC110037,FPN,DAN,237.36529624592512
126,CC110037,FPN,DMN,225.89705598575605
127,CC110037,FPN,Motor,220.13040572560465
128,CC110037,FPN,Aud.,236.1470479189512
129,CC110037,FPN,Vis.,211.69541253255042
130,CC110037,FPN,Subc.,221.12143964958432
131,CC110037,FPN,Whole Brain,220.43078896879024
132,CC110037,CON,FPN,216.44084708421983
133,CC110037,CON,CON,149.38150499927352
134,CC110037,CON,SAN,193.4516256504058
135,CC110037,CON,VAN,223.4781360045544
136,CC110037,CON,DAN,230.17709108875528
137,CC110037,CON,DMN,215.85641079688764
138,CC110037,CON,Motor,183.40085127850847
139,CC110037,CON,Aud.,211.14581190985345
140,CC110037,CON,Vis.,212.2976230323734
141,CC110037,CON,Subc.,208.79408660771338
142,CC110037,CON,Whole Brain,204.88893494771594
143,CC110037,SAN,FPN,224.09161992454423
144,CC110037,SAN,CON,199.06803597549134
145,CC110037,SAN,SAN,188.59566825608704
146,CC110037,SAN,VAN,222.52781947700822
147,CC110037,SAN,DAN,222.6426224966295
148,CC110037,SAN,DMN,215.1810833844783
149,CC110037,SAN,Motor,209.29080907061442
150,CC110037,SAN,Aud.,214.05054337871843
151,CC110037,SAN,Vis.,217.380018032491
152,CC110037,SAN,Subc.,213.53930479197277
153,CC110037,SAN,Whole Brain,212.9204238381595
154,CC110037,VAN,FPN,217.85242838638428
155,CC110037,VAN,CON,211.0685191009274
156,CC110037,VAN,SAN,206.07682328136264
157,CC110037,VAN,VAN,151.3225735015607
158,CC110037,VAN,DAN,183.15570005719525
159,CC110037,VAN,DMN,193.25938724792016
160,CC110037,VAN,Motor,193.33590420384579
161,CC110037,VAN,Aud.,195.08189650882588
162,CC110037,VAN,Vis.,194.82401451668997
163,CC110037,VAN,Subc.,198.60763736357615
164,CC110037,VAN,Whole Brain,196.7818652375444
165,CC110037,DAN,FPN,225.31125042629594
166,CC110037,DAN,CON,222.01854165316027
167,CC110037,DAN,SAN,208.28689881632175
168,CC110037,DAN,VAN,189.11427699922578
169,CC110037,DAN,DAN,173.81288509936357
170,CC110037,DAN,DMN,208.63818184462465
171,CC110037,DAN,Motor,214.97605302218585
172,CC110037,DAN,Aud.,211.97535664059868
173,CC110037,DAN,Vis.,205.61707722456782
174,CC110037,DAN,Subc.,205.70079542892455
175,CC110037,DAN,Whole Brain,209.46302531195641
176,CC110037,DMN,FPN,212.11586152577956
177,CC110037,DMN,CON,208.20764772941337
178,CC110037,DMN,SAN,200.85349244897316
179,CC110037,DMN,VAN,205.87661491754926
180,CC110037,DMN,DAN,210.43521599822384
181,CC110037,DMN,DMN,195.80309766025587
182,CC110037,DMN,Motor,207.5637356326669
183,CC110037,DMN,Aud.,206.17530295790124
184,CC110037,DMN,Vis.,199.28915576316388
185,CC110037,DMN,Subc.,200.4130136275632
186,CC110037,DMN,Whole Brain,202.98811282592573
187,CC110037,Motor,FPN,214.73790972074417
188,CC110037,Motor,CON,193.3352480343276
189,CC110037,Motor,SAN,200.96352900386924
190,CC110037,Motor,VAN,203.9828788859089
191,CC110037,Motor,DAN,212.95981183663432
192,CC110037,Motor,DMN,212.94205487871002
193,CC110037,Motor,Motor,175.90887908778933
194,CC110037,Motor,Aud.,208.57095124283288
195,CC110037,Motor,Vis.,211.26548467550177
196,CC110037,Motor,Subc.,207.8055860864271
197,CC110037,Motor,Whole Brain,204.26920791568904
198,CC110037,Aud.,FPN,209.09593279270644
199,CC110037,Aud.,CON,195.78976478970918
200,CC110037,Aud.,SAN,191.52610469098548
201,CC110037,Aud.,VAN,197.40254665890433
202,CC110037,Aud.,DAN,198.59675664045682
203,CC110037,Aud.,DMN,196.48044547707454
204,CC110037,Aud.,Motor,198.9466121811262
205,CC110037,Aud.,Aud.,187.56528860929993
206,CC110037,Aud.,Vis.,196.97240233040355
207,CC110037,Aud.,Subc.,196.6507125480784
208,CC110037,Aud.,Whole Brain,197.5142788744205
209,CC110037,Vis.,FPN,207.2703976098352
210,CC110037,Vis.,CON,216.2765860112066
211,CC110037,Vis.,SAN,210.15799493372714
212,CC110037,Vis.,VAN,207.51611201396807
213,CC110037,Vis.,DAN,208.56047297359106
214,CC110037,Vis.,DMN,206.65071584303024
215,CC110037,Vis.,Motor,210.8518936935771
216,CC110037,Vis.,Aud.,218.0498456098534
217,CC110037,Vis.,Vis.,187.61934815210566
218,CC110037,Vis.,Subc.,197.1805238235438
219,CC110037,Vis.,Whole Brain,205.84742511936855
220,CC110037,Subc.,FPN,213.24758303954266
221,CC110037,Subc.,CON,202.8743561135925
222,CC110037,Subc.,SAN,199.2430922154587
223,CC110037,Subc.,VAN,217.23558162610558
224,CC110037,Subc.,DAN,217.7782554593557
225,CC110037,Subc.,DMN,206.88716075481958
226,CC110037,Subc.,Motor,204.89676811394838
227,CC110037,Subc.,Aud.,211.3778761281652
228,CC110037,Subc.,Vis.,196.03041982078443
229,CC110037,Subc.,Subc.,177.40030297042517
230,CC110037,Subc.,Whole Brain,204.39225096399403
231,CC110037,Whole Brain,FPN,211.60434029960493
232,CC110037,Whole Brain,CON,204.25852358693982
233,CC110037,Whole Brain,SAN,203.35718308864546
234,CC110037,Whole Brain,VAN,208.9369095066394
235,CC110037,Whole Brain,DAN,212.73552076756457
236,CC110037,Whole Brain,DMN,207.24591712139872
237,CC110037,Whole Brain,Motor,202.46889620089544
238,CC110037,Whole Brain,Aud.,211.5573231553464
239,CC110037,Whole Brain,Vis.,202.9546947549639
240,CC110037,Whole Brain,Subc.,203.6045986499443
241,CC110037,Whole Brain,Whole Brain,206.2873303224154
242,CC110045,FPN,FPN,169.3014123179831
243,CC110045,FPN,CON,223.60776037595892
244,CC110045,FPN,SAN,192.5914120706409
245,CC110045,FPN,VAN,222.03607715421668
246,CC110045,FPN,DAN,204.43362512596235
247,CC110045,FPN,DMN,212.47433176752193
248,CC110045,FPN,Motor,225.16143924130012
249,CC110045,FPN,Aud.,223.66359722944622
250,CC110045,FPN,Vis.,207.54388707185487
251,CC110045,FPN,Subc.,208.180851969974
252,CC110045,FPN,Whole Brain,208.36260613175241
253,CC110045,CON,FPN,223.37216794964482
254,CC110045,CON,CON,155.9612820732258
255,CC110045,CON,SAN,198.72656530380405
256,CC110045,CON,VAN,226.98707674431617
257,CC110045,CON,DAN,217.95571885548313
258,CC110045,CON,DMN,220.3265911613053
259,CC110045,CON,Motor,201.28329138982824
260,CC110045,CON,Aud.,217.24971440876726
261,CC110045,CON,Vis.,232.83434792894113
262,CC110045,CON,Subc.,236.92939107204543
263,CC110045,CON,Whole Brain,214.6800764278098
264,CC110045,SAN,FPN,208.10713977628828
265,CC110045,SAN,CON,217.11361406255608
266,CC110045,SAN,SAN,175.01883068137442
267,CC110045,SAN,VAN,230.19245918708626
268,CC110045,SAN,DAN,209.00681249327496
269,CC110045,SAN,DMN,223.29295121276945
270,CC110045,SAN,Motor,229.69244374700017
271,CC110045,SAN,Aud.,219.3433595661504
272,CC110045,SAN,Vis.,231.75780074784495
273,CC110045,SAN,Subc.,229.983172769831
274,CC110045,SAN,Whole Brain,219.1977495811557
275,CC110045,VAN,FPN,173.86597918377026
276,CC110045,VAN,CON,177.1091878768446
277,CC110045,VAN,SAN,164.0051729147655
278,CC110045,VAN,VAN,140.8707094852548
279,CC110045,VAN,DAN,153.30604531859225
280,CC110045,VAN,DMN,174.15722229933172
281,CC110045,VAN,Motor,173.674351759609
282,CC110045,VAN,Aud.,177.27403829792718
283,CC110045,VAN,Vis.,171.08667703690534
284,CC110045,VAN,Subc.,170.66977585438283
285,CC110045,VAN,Whole Brain,170.77603032015313
286,CC110045,DAN,FPN,186.7007431743948
287,CC110045,DAN,CON,201.54004941047586
288,CC110045,DAN,SAN,177.98544127797425
289,CC110045,DAN,VAN,181.33874440210656
290,CC110045,DAN,DAN,152.45098060775658
291,CC110045,DAN,DMN,197.0836350066524
292,CC110045,DAN,Motor,205.2747553018639
293,CC110045,DAN,Aud.,195.3552480369185
294,CC110045,DAN,Vis.,189.93996299756722
295,CC110045,DAN,Subc.,190.21877713909768
296,CC110045,DAN,Whole Brain,191.69458509721886
297,CC110045,DMN,FPN,201.41100829231843
298,CC110045,DMN,CON,211.18910920663748
299,CC110045,DMN,SAN,193.28341928708568
300,CC110045,DMN,VAN,216.0418967502266
301,CC110045,DMN,DAN,198.83450674311086
302,CC110045,DMN,DMN,179.97781782593148
303,CC110045,DMN,Motor,223.08574194486602
304,CC110045,DMN,Aud.,189.18002194967522
305,CC110045,DMN,Vis.,212.02058103950174
306,CC110045,DMN,Subc.,225.70774275835387
307,CC110045,DMN,Whole Brain,201.6726517555683
308,CC110045,Motor,FPN,220.1990869224966
309,CC110045,Motor,CON,198.20489967892559
310,CC110045,Motor,SAN,207.5100561173622
311,CC110045,Motor,VAN,216.92996663213725
312,CC110045,Motor,DAN,216.95999416489812
313,CC110045,Motor,DMN,230.08704735358472
314,CC110045,Motor,Motor,177.06755271837253
315,CC110045,Motor,Aud.,223.32783588700167
316,CC110045,Motor,Vis.,212.46489919600552
317,CC110045,Motor,Subc.,190.02616421417045
318,CC110045,Motor,Whole Brain,210.9439371683327
319,CC110045,Aud.,FPN,198.26639093603433
320,CC110045,Aud.,CON,193.6174652614211
321,CC110045,Aud.,SAN,172.47213442259707
322,CC110045,Aud.,VAN,203.9791279495614
323,CC110045,Aud.,DAN,183.99447744072083
324,CC110045,Aud.,DMN,179.14355901327443
325,CC110045,Aud.,Motor,199.48481001752586
326,CC110045,Aud.,Aud.,161.87033987076262
327,CC110045,Aud.,Vis.,200.29110798997823
328,CC110045,Aud.,Subc.,207.02433519039172
329,CC110045,Aud.,Whole Brain,189.35573363983133
