,subject,net2,MeanBVC
0,CC110033,Aud.,214.88235931494782
1,CC110033,CON,197.76662639079473
2,CC110033,DAN,206.14682136253708
3,CC110033,DMN,208.86590558143098
4,CC110033,FPN,197.45437265391573
5,CC110033,Motor,203.34796549022377
6,CC110033,SAN,195.08837619502089
7,CC110033,Subc.,198.5440105078523
8,CC110033,VAN,214.91765930221453
9,CC110033,Vis.,202.90749781382186
10,CC110033,Whole Brain,201.16552806260165
11,CC110037,Aud.,207.6498008236083
12,CC110037,CON,202.9911285338091
13,CC110037,DAN,208.6772796349368
14,CC110037,DMN,204.1404466119736
15,CC110037,FPN,210.4134223594693
16,CC110037,Motor,199.82279819080094
17,CC110037,SAN,199.1698436238715
18,CC110037,Subc.,200.57837513623642
19,CC110037,VAN,206.3885555349424
20,CC110037,Vis.,200.06923554685264
21,CC110037,Whole Brain,201.18623667886004
22,CC110045,Aud.,210.15894794923165
23,CC110045,CON,206.76203040190504
24,CC110045,DAN,198.41807021529522
25,CC110045,DMN,208.63692383899448
26,CC110045,FPN,201.38458891795648
27,CC110045,Motor,205.01298529925788
28,CC110045,SAN,190.60720328950092
29,CC110045,Subc.,202.41968341899707
30,CC110045,VAN,212.00838129872128
31,CC110045,Vis.,204.54826750544635
32,CC110045,Whole Brain,201.13004054005503
33,CC110056,Aud.,208.61426605114752
34,CC110056,CON,204.18569789463928
35,CC110056,DAN,201.61164792898052
36,CC110056,DMN,206.55232302706426
37,CC110056,FPN,199.55489552026225
38,CC110056,Motor,199.9595180362957
39,CC110056,SAN,209.60171985331584
40,CC110056,Subc.,207.95714659256396
41,CC110056,VAN,199.99979387687284
42,CC110056,Vis.,202.28776703511215
43,CC110056,Whole Brain,200.762346859107
44,CC110069,Aud.,212.42021153874157
45,CC110069,CON,209.95593525654385
46,CC110069,DAN,213.1065992630914
47,CC110069,DMN,215.61067958394332
48,CC110069,FPN,192.084192020308
49,CC110069,Motor,197.69179995763358
50,CC110069,SAN,196.1419983254922
51,CC110069,Subc.,180.35993601257263
52,CC110069,VAN,229.02171571007358
53,CC110069,Vis.,193.20411772682314
54,CC110069,Whole Brain,201.4899372801387
55,CC110087,Aud.,211.34644825183804
56,CC110087,CON,199.87909191383528
57,CC110087,DAN,210.6117570437215
58,CC110087,DMN,203.87199924085292
59,CC110087,FPN,205.12736912456927
60,CC110087,Motor,204.2029568822706
61,CC110087,SAN,184.90935763410513
62,CC110087,Subc.,192.07190906147105
63,CC110087,VAN,223.1285739122806
64,CC110087,Vis.,205.55031005226806
65,CC110087,Whole Brain,200.38734955814874
66,CC110098,Aud.,213.0733624456469
67,CC110098,CON,204.56672872598483
68,CC110098,DAN,203.67064152492
69,CC110098,DMN,204.42111636959277
70,CC110098,FPN,194.8509309248984
71,CC110098,Motor,208.85516561588202
72,CC110098,SAN,195.40302371405733
73,CC110098,Subc.,196.20995641196464
74,CC110098,VAN,219.6637903589482
75,CC110098,Vis.,199.3903858501754
76,CC110098,Whole Brain,200.9820207332903
77,CC110101,Aud.,212.88163693743087
78,CC110101,CON,189.35822933164673
79,CC110101,DAN,207.48503434091486
80,CC110101,DMN,199.598883242343
81,CC110101,FPN,203.71995704349507
82,CC110101,Motor,196.16767584012837
83,CC110101,SAN,190.75737905399907
84,CC110101,Subc.,203.8534324202834
85,CC110101,VAN,224.40777081930142
86,CC110101,Vis.,213.40789284335295
87,CC110101,Whole Brain,199.44923080246588
88,CC110126,Aud.,208.39042351354746
89,CC110126,CON,205.28581296247012
90,CC110126,DAN,202.47671883848776
91,CC110126,DMN,208.09049987516295
92,CC110126,FPN,200.3157036688944
93,CC110126,Motor,205.8880689008236
94,CC110126,SAN,200.77843197714034
95,CC110126,Subc.,192.66948713848177
96,CC110126,VAN,218.76464110639418
97,CC110126,Vis.,198.13413243008796
98,CC110126,Whole Brain,200.29320226387094
99,CC110174,Aud.,202.79839155723585
100,CC110174,CON,213.29040598079928
101,CC110174,DAN,200.75134823310685
102,CC110174,DMN,202.93989363650854
103,CC110174,FPN,199.44768639244154
104,CC110174,Motor,225.1312324153949
105,CC110174,SAN,199.80528274862888
106,CC110174,Subc.,192.19076561019756
107,CC110174,VAN,203.92436978750908
108,CC110174,Vis.,198.84184447350563
109,CC110174,Whole Brain,201.96590184003313
110,CC110182,Aud.,211.41890375256085
111,CC110182,CON,191.92587511698804
112,CC110182,DAN,204.5362597714978
113,CC110182,DMN,214.07921921871963
114,CC110182,FPN,200.1812460553378
115,CC110182,Motor,206.8158157868438
116,CC110182,SAN,180.22173007310923
117,CC110182,Subc.,203.5306513053006
118,CC110182,VAN,224.19724123520444
119,CC110182,Vis.,202.5107720194318
120,CC110182,Whole Brain,201.66940834036723
121,CC110187,Aud.,216.135831192678
122,CC110187,CON,198.53215345402484
123,CC110187,DAN,210.1956841539539
124,CC110187,DMN,211.26747598559706
125,CC110187,FPN,195.99203832203753
126,CC110187,Motor,204.71209779625866
127,CC110187,SAN,188.7952701211653
128,CC110187,Subc.,193.13846000033556
129,CC110187,VAN,213.9875648620417
130,CC110187,Vis.,206.3464620572121
131,CC110187,Whole Brain,201.98408473005657
132,CC110319,Aud.,221.37924681738605
133,CC110319,CON,198.4105008911342
134,CC110319,DAN,195.76377796178292
135,CC110319,DMN,207.59253488666099
136,CC110319,FPN,194.6763322652188
137,CC110319,Motor,213.51038382104466
138,CC110319,SAN,190.02517392607373
139,CC110319,Subc.,197.61377387184774
140,CC110319,VAN,221.76598296847197
141,CC110319,Vis.,199.797336627565
142,CC110319,Whole Brain,200.55207863817546
143,CC110411,Aud.,222.55116426179265
144,CC110411,CON,206.1308549049986
145,CC110411,DAN,200.4239471726912
146,CC110411,DMN,209.9502905092715
147,CC110411,FPN,197.70955057065683
148,CC110411,Motor,212.9920791510432
149,CC110411,SAN,190.55590498987294
150,CC110411,Subc.,189.00264454293142
151,CC110411,VAN,216.15734430353086
152,CC110411,Vis.,195.0322459089717
153,CC110411,Whole Brain,200.58109635960037
154,CC110606,Aud.,213.52679444323076
155,CC110606,CON,207.2817118830063
156,CC110606,DAN,195.5355615919589
157,CC110606,DMN,207.13252694230624
158,CC110606,FPN,207.72175928961647
159,CC110606,Motor,211.23740976143284
160,CC110606,SAN,186.56573911259864
161,CC110606,Subc.,200.07766266012263
162,CC110606,VAN,202.8689620837309
163,CC110606,Vis.,208.0651967678209
164,CC110606,Whole Brain,201.07379813953708
165,CC112141,Aud.,211.90309449668212
166,CC112141,CON,204.04527466851437
167,CC112141,DAN,208.52262661288583
168,CC112141,DMN,204.18070559203005
169,CC112141,FPN,197.4045602597691
170,CC112141,Motor,197.70325299542952
171,CC112141,SAN,191.4334387133116
172,CC112141,Subc.,202.52491230420878
173,CC112141,VAN,220.16729376420398
174,CC112141,Vis.,203.7922333483093
175,CC112141,Whole Brain,199.40972992001684
176,CC120008,Aud.,212.34622523639632
177,CC120008,CON,203.8653815794611
178,CC120008,DAN,216.65492619989345
179,CC120008,DMN,203.977740650868
180,CC120008,FPN,195.9218097911141
181,CC120008,Motor,196.18891291698256
182,CC120008,SAN,194.9759972770218
183,CC120008,Subc.,202.58585270886414
184,CC120008,VAN,215.81981216104344
185,CC120008,Vis.,199.55143163307014
186,CC120008,Whole Brain,199.19903252064654
187,CC120049,Aud.,207.12154767083115
188,CC120049,CON,220.47404099626775
189,CC120049,DAN,205.56226258731917
190,CC120049,DMN,206.24558276492047
191,CC120049,FPN,196.0118849970795
192,CC120049,Motor,199.99292286517934
193,CC120049,SAN,194.5972297606819
194,CC120049,Subc.,194.8572379523312
195,CC120049,VAN,213.53186491261
196,CC120049,Vis.,202.05904786335378
197,CC120049,Whole Brain,200.6335003047872
198,CC120061,Aud.,208.77893260338928
199,CC120061,CON,203.93126910560702
200,CC120061,DAN,211.73060385005297
201,CC120061,DMN,205.22415040749348
202,CC120061,FPN,202.05977641256712
203,CC120061,Motor,200.9150129887566
204,CC120061,SAN,201.67788142518233
205,CC120061,Subc.,195.7245448023835
206,CC120061,VAN,211.9395226577987
207,CC120061,Vis.,198.43609976280956
208,CC120061,Whole Brain,200.66932865932102
209,CC120065,Aud.,208.22686836877452
210,CC120065,CON,207.32179310494325
211,CC120065,DAN,201.74043066683802
212,CC120065,DMN,205.01031435108365
213,CC120065,FPN,205.3037841606102
214,CC120065,Motor,203.60544887029232
215,CC120065,SAN,191.01399986505584
216,CC120065,Subc.,199.2890478749064
217,CC120065,VAN,210.4047266806493
218,CC120065,Vis.,207.94848649592396
219,CC120065,Whole Brain,201.22222223628404
220,CC120120,Aud.,212.38058600775236
221,CC120120,CON,204.61766647424494
222,CC120120,DAN,224.41330052195858
223,CC120120,DMN,202.5595642107288
224,CC120120,FPN,208.43089795612883
225,CC120120,Motor,198.70761202823488
226,CC120120,SAN,192.96837443474496
227,CC120120,Subc.,180.73647154926556
228,CC120120,VAN,219.21771326313439
229,CC120120,Vis.,196.71652331930557
230,CC120120,Whole Brain,200.3384129098626
231,CC120123,Aud.,206.61795487463633
232,CC120123,CON,206.32776400787375
233,CC120123,DAN,209.02548766282362
234,CC120123,DMN,201.99616222054925
235,CC120123,FPN,199.68756502837192
236,CC120123,Motor,209.90714128849294
237,CC120123,SAN,190.32186169808784
238,CC120123,Subc.,198.26112217015515
239,CC120123,VAN,215.00098624796564
240,CC120123,Vis.,203.5470233510641
241,CC120123,Whole Brain,200.39405412534018
242,CC120166,Aud.,218.11514899400535
243,CC120166,CON,203.59258217467521
244,CC120166,DAN,207.06264344774203
245,CC120166,DMN,211.18308971225292
246,CC120166,FPN,199.0839019161058
247,CC120166,Motor,202.0089335773651
248,CC120166,SAN,192.76517072514952
249,CC120166,Subc.,194.2510483453244
250,CC120166,VAN,212.740454876772
251,CC120166,Vis.,198.8432262196752
252,CC120166,Whole Brain,201.44092268629393
253,CC120182,Aud.,219.90239765932273
254,CC120182,CON,209.76855251019464
255,CC120182,DAN,199.64167560594643
256,CC120182,DMN,203.87757675219714
257,CC120182,FPN,204.94678971563775
258,CC120182,Motor,195.29527227665426
259,CC120182,SAN,188.97055188766228
260,CC120182,Subc.,201.10260282062708
261,CC120182,VAN,220.88144735907008
262,CC120182,Vis.,199.00666247968394
263,CC120182,Whole Brain,197.69359360836492
264,CC120208,Aud.,225.08957249670084
265,CC120208,CON,213.5961856928901
266,CC120208,DAN,200.04202015825237
267,CC120208,DMN,208.10601840079207
268,CC120208,FPN,195.63452930092774
269,CC120208,Motor,203.37102335670414
270,CC120208,SAN,195.79139474428234
271,CC120208,Subc.,190.83920644625306
272,CC120208,VAN,214.27798591020033
273,CC120208,Vis.,194.72272642895308
274,CC120208,Whole Brain,199.61645973940497
275,CC120218,Aud.,214.01307254802427
276,CC120218,CON,220.80190157676378
277,CC120218,DAN,208.2137235318292
