,subject,net2,MeanGVC
0,CC110033,Aud.,193.06308143293307
1,CC110033,CON,175.23114327658706
2,CC110033,DAN,191.38218866855735
3,CC110033,DMN,182.99770807471023
4,CC110033,FPN,164.45821213459516
5,CC110033,Motor,161.39514797656938
6,CC110033,SAN,162.18929789812825
7,CC110033,Subc.,167.6771852910254
8,CC110033,VAN,190.91941865709114
9,CC110033,Vis.,177.13913701926978
10,CC110033,Whole Brain,175.10620849137618
11,CC110037,Aud.,179.9021740386467
12,CC110037,CON,183.67704713301634
13,CC110037,DAN,174.5607364813525
14,CC110037,DMN,179.90671601549596
15,CC110037,FPN,177.6756190857617
16,CC110037,Motor,176.63283185129865
17,CC110037,SAN,165.56625678418686
18,CC110037,Subc.,161.11426795789268
19,CC110037,VAN,188.38493745822024
20,CC110037,Vis.,177.29278538276733
21,CC110037,Whole Brain,176.8453567322044
22,CC110045,Aud.,185.44419237852793
23,CC110045,CON,170.6351950258504
24,CC110045,DAN,172.08051730901937
25,CC110045,DMN,184.88160175274737
26,CC110045,FPN,169.88296018296373
27,CC110045,Motor,175.9830879320667
28,CC110045,SAN,158.7400112808546
29,CC110045,Subc.,178.04612314533017
30,CC110045,VAN,185.79535313108292
31,CC110045,Vis.,182.4656721853162
32,CC110045,Whole Brain,177.6040145970837
33,CC110056,Aud.,191.35080721856596
34,CC110056,CON,174.68513019214848
35,CC110056,DAN,186.1393437314591
36,CC110056,DMN,179.43838600207073
37,CC110056,FPN,168.21017570597576
38,CC110056,Motor,177.82235378618645
39,CC110056,SAN,166.28247251805817
40,CC110056,Subc.,170.12797640656942
41,CC110056,VAN,182.28258294856835
42,CC110056,Vis.,169.42208134083117
43,CC110056,Whole Brain,175.79741907040926
44,CC110069,Aud.,187.39773967721382
45,CC110069,CON,171.38164869122159
46,CC110069,DAN,196.07931369500446
47,CC110069,DMN,180.61950954291095
48,CC110069,FPN,159.90325870733963
49,CC110069,Motor,168.51512612691405
50,CC110069,SAN,158.14518219873588
51,CC110069,Subc.,155.9795487659652
52,CC110069,VAN,215.5024034835972
53,CC110069,Vis.,173.88318147722524
54,CC110069,Whole Brain,174.15181655471505
55,CC110087,Aud.,180.46551263073712
56,CC110087,CON,166.4287806561467
57,CC110087,DAN,199.4320433625081
58,CC110087,DMN,174.55720958110692
59,CC110087,FPN,181.6948327384065
60,CC110087,Motor,170.37795784963043
61,CC110087,SAN,152.28117876858093
62,CC110087,Subc.,158.3692352305592
63,CC110087,VAN,201.7557361988428
64,CC110087,Vis.,181.25351817041206
65,CC110087,Whole Brain,174.9427237339123
66,CC110098,Aud.,181.65801323005687
67,CC110098,CON,180.21487169073535
68,CC110098,DAN,180.5422149773951
69,CC110098,DMN,177.07296875632085
70,CC110098,FPN,162.12348726084494
71,CC110098,Motor,178.32428349999356
72,CC110098,SAN,166.92912956203892
73,CC110098,Subc.,167.13782169771125
74,CC110098,VAN,197.59544311341068
75,CC110098,Vis.,174.71078162844304
76,CC110098,Whole Brain,175.2497135038927
77,CC110101,Aud.,186.04237321200884
78,CC110101,CON,152.3066844715812
79,CC110101,DAN,182.78620711295778
80,CC110101,DMN,176.35326550206563
81,CC110101,FPN,169.68852538821548
82,CC110101,Motor,174.82363388402877
83,CC110101,SAN,160.27625565992614
84,CC110101,Subc.,162.46349919556735
85,CC110101,VAN,217.7460970835821
86,CC110101,Vis.,183.8909238315702
87,CC110101,Whole Brain,175.18126357933926
88,CC110126,Aud.,183.13370852709883
89,CC110126,CON,176.15478049770016
90,CC110126,DAN,174.1840089012345
91,CC110126,DMN,184.26147637966596
92,CC110126,FPN,171.47161203958686
93,CC110126,Motor,174.59790127722854
94,CC110126,SAN,172.48520124078857
95,CC110126,Subc.,158.86045995717578
96,CC110126,VAN,193.77319681900326
97,CC110126,Vis.,175.58541895237093
98,CC110126,Whole Brain,177.05096432898995
99,CC110174,Aud.,180.79060154364595
100,CC110174,CON,184.34723400105366
101,CC110174,DAN,171.18004338269918
102,CC110174,DMN,178.51605406597017
103,CC110174,FPN,176.61201533283665
104,CC110174,Motor,188.70385291439496
105,CC110174,SAN,170.09901903116634
106,CC110174,Subc.,164.29411112389636
107,CC110174,VAN,170.14559249266713
108,CC110174,Vis.,178.66306060028873
109,CC110174,Whole Brain,178.20714443222394
110,CC110182,Aud.,184.06808293986666
111,CC110182,CON,164.4112696308744
112,CC110182,DAN,182.1325883871853
113,CC110182,DMN,184.93340452157
114,CC110182,FPN,169.78502050687894
115,CC110182,Motor,172.98521035688447
