net2,MeanGVC
Aud.,0.16800109411280775
CON,0.15825537784297203
DAN,0.16370438524086203
DMN,0.16330534416968945
FPN,0.15834763336029417
Motor,0.15535382180003007
SAN,0.15897481820086398
Subc.,0.15247309717365035
VAN,0.16022459629212446
Vis.,0.15838057997315308
Whole Brain,0.1598089758552873
