net2,MeanGVC
Aud.,0.21373619060333318
CON,0.19080996678140746
DAN,0.17384486077440595
DMN,0.2008392495354484
FPN,0.20427823596278705
Motor,0.21382914436436723
SAN,0.19324498274390928
Subc.,0.1887586437319542
VAN,0.18477522541422678
Vis.,0.19327812847129594
Whole Brain,0.19910931191549028
