,subject,net2,MeanBVC
0,sub-01,Aud.,0.31572715298771326
1,sub-01,CON,0.3136728260025087
2,sub-01,DAN,0.3125477237361374
3,sub-01,DMN,0.3137582046903953
4,sub-01,FPN,0.3085659351689448
5,sub-01,Motor,0.31127280854261985
6,sub-01,SAN,0.3146539927554223
7,sub-01,Subc.,0.31357659502742574
8,sub-01,VAN,0.3111849334426241
9,sub-01,Vis.,0.31152439697533985
10,sub-01,Whole Brain,0.311677810427146
11,sub-02,Aud.,0.3075422187506546
12,sub-02,CON,0.30274144193997204
13,sub-02,DAN,0.3202430044797581
14,sub-02,DMN,0.3043636816269183
15,sub-02,FPN,0.32748141708211015
16,sub-02,Motor,0.31472050404503316
17,sub-02,SAN,0.3086729077284424
18,sub-02,Subc.,0.3262716866754675
19,sub-02,VAN,0.30851644699667935
20,sub-02,Vis.,0.30672237328573415
21,sub-02,Whole Brain,0.310886697145506
22,sub-03,Aud.,0.3156515881302068
23,sub-03,CON,0.3107696019652287
24,sub-03,DAN,0.3140570213304377
25,sub-03,DMN,0.3125768060404036
26,sub-03,FPN,0.31093879320888124
27,sub-03,Motor,0.31382435003863934
28,sub-03,SAN,0.3131196176169506
29,sub-03,Subc.,0.311301971804685
30,sub-03,VAN,0.31599031280892603
31,sub-03,Vis.,0.3085757001078199
32,sub-03,Whole Brain,0.3113566167040981
33,sub-04,Aud.,0.3221987515419188
34,sub-04,CON,0.31367751356226714
35,sub-04,DAN,0.32038967139272045
36,sub-04,DMN,0.31388885905484076
37,sub-04,FPN,0.305349868055551
38,sub-04,Motor,0.32091566861897314
39,sub-04,SAN,0.3046613010568257
40,sub-04,Subc.,0.3123262009047146
41,sub-04,VAN,0.30441210250896444
42,sub-04,Vis.,0.3073965052881402
43,sub-04,Whole Brain,0.312945937771361
44,sub-05,Aud.,0.31447174080792617
45,sub-05,CON,0.30887580506735557
46,sub-05,DAN,0.31284401332853295
47,sub-05,DMN,0.313841494820263
48,sub-05,FPN,0.3100563743619221
49,sub-05,Motor,0.314822355011238
50,sub-05,SAN,0.31248800512295927
51,sub-05,Subc.,0.31034876087146346
52,sub-05,VAN,0.31777765894977505
53,sub-05,Vis.,0.31043915334742905
54,sub-05,Whole Brain,0.31219701806741224
55,sub-06,Aud.,0.3129253662463304
56,sub-06,CON,0.313504302445386
57,sub-06,DAN,0.31446741818409574
58,sub-06,DMN,0.3137646382150018
59,sub-06,FPN,0.3070374709245738
60,sub-06,Motor,0.3178544579380368
61,sub-06,SAN,0.31472799774907273
62,sub-06,Subc.,0.3133394680526534
63,sub-06,VAN,0.3093570927921371
64,sub-06,Vis.,0.3091091736050293
65,sub-06,Whole Brain,0.3120749936039605
66,sub-09,Aud.,0.31049396830201687
67,sub-09,CON,0.3077382275411186
68,sub-09,DAN,0.3272178776966089
69,sub-09,DMN,0.3089962447573999
70,sub-09,FPN,0.31283743738720127
71,sub-09,Motor,0.3108626603082617
72,sub-09,SAN,0.31531534942390227
73,sub-09,Subc.,0.306556086728639
74,sub-09,VAN,0.3157783966346999
75,sub-09,Vis.,0.31121709987993923
76,sub-09,Whole Brain,0.31114903109648917
77,sub-10,Aud.,0.3109686921304762
78,sub-10,CON,0.3085561027190612
79,sub-10,DAN,0.3149109855994378
80,sub-10,DMN,0.31026062874921323
81,sub-10,FPN,0.30543504710629915
82,sub-10,Motor,0.31763263310593304
83,sub-10,SAN,0.31209085587113283
84,sub-10,Subc.,0.3127768078944587
85,sub-10,VAN,0.3217198393157499
86,sub-10,Vis.,0.3121295191261547
87,sub-10,Whole Brain,0.31168126813836006
88,sub-14,Aud.,0.3103984242860388
89,sub-14,CON,0.31132824779580326
90,sub-14,DAN,0.3190120330414811
91,sub-14,DMN,0.3123666337113589
92,sub-14,FPN,0.311239628432274
93,sub-14,Motor,0.31350530523655745
94,sub-14,SAN,0.3113155604973471
95,sub-14,Subc.,0.30841025057018817
96,sub-14,VAN,0.31204598061461536
97,sub-14,Vis.,0.31615313937563183
98,sub-14,Whole Brain,0.3123871761949812
99,sub-15,Aud.,0.30487125029150103
100,sub-15,CON,0.30784006558548516
101,sub-15,DAN,0.3172643723539295
102,sub-15,DMN,0.3110571404335073
103,sub-15,FPN,0.31571431965563324
104,sub-15,Motor,0.3121185312970728
105,sub-15,SAN,0.31017217193538704
106,sub-15,Subc.,0.3079461201896382
107,sub-15,VAN,0.3292256479477237
108,sub-15,Vis.,0.3112776864557683
109,sub-15,Whole Brain,0.31067507361063035
110,sub-16,Aud.,0.314934955271849
111,sub-16,CON,0.31161914217190856
112,sub-16,DAN,0.3101779312108432
113,sub-16,DMN,0.3139123883635284
114,sub-16,FPN,0.3027810757364917
115,sub-16,Motor,0.3149121742649579
116,sub-16,SAN,0.31680794579314003
117,sub-16,Subc.,0.31472139077368455
118,sub-16,VAN,0.32197065798922075
119,sub-16,Vis.,0.3050631924865962
120,sub-16,Whole Brain,0.31126152569405596
121,sub-17,Aud.,0.3129362369676318
122,sub-17,CON,0.30772667979709956
123,sub-17,DAN,0.31286445776836447
124,sub-17,DMN,0.3133719133190023
125,sub-17,FPN,0.31381753968697945
126,sub-17,Motor,0.3119847869814538
127,sub-17,SAN,0.3164499084213793
128,sub-17,Subc.,0.3110732655615248
129,sub-17,VAN,0.313442606956273
130,sub-17,Vis.,0.3120328815515223
131,sub-17,Whole Brain,0.3124621027450464
132,sub-18,Aud.,0.3150052776132622
133,sub-18,CON,0.31258915082380645
134,sub-18,DAN,0.314344392687138
135,sub-18,DMN,0.3132056937171511
136,sub-18,FPN,0.30864534621973927
137,sub-18,Motor,0.30943009175933284
138,sub-18,SAN,0.31284901832580303
139,sub-18,Subc.,0.3109615273833596
140,sub-18,VAN,0.3226257026879319
141,sub-18,Vis.,0.30757996829274364
142,sub-18,Whole Brain,0.31092621024600914
143,sub-19,Aud.,0.3129364570893545
144,sub-19,CON,0.311585533909373
145,sub-19,DAN,0.3147546532563872
146,sub-19,DMN,0.311120067834131
147,sub-19,FPN,0.31191852671057674
148,sub-19,Motor,0.31377071678769586
149,sub-19,SAN,0.3136597275751639
150,sub-19,Subc.,0.31002258773679037
151,sub-19,VAN,0.31868474827653115
152,sub-19,Vis.,0.30852680038367725
153,sub-19,Whole Brain,0.31118256019659607
154,sub-20,Aud.,0.3071232666356137
155,sub-20,CON,0.2985203975961132
156,sub-20,DAN,0.3202748135853769
157,sub-20,DMN,0.30477652043972825
158,sub-20,FPN,0.3158108015273844
159,sub-20,Motor,0.31928086740612177
160,sub-20,SAN,0.3175514481688748
161,sub-20,Subc.,0.3134058641804041
162,sub-20,VAN,0.3204020590087157
163,sub-20,Vis.,0.3089695389925974
164,sub-20,Whole Brain,0.31204680221534603
