,subject,net2,MeanGVC
0,sub-01,Aud.,0.2798131178133384
1,sub-01,CON,0.2863820137659767
2,sub-01,DAN,0.28404171843967724
3,sub-01,DMN,0.28993639154077816
4,sub-01,FPN,0.2803701995929071
5,sub-01,Motor,0.2823699767696393
6,sub-01,SAN,0.28866095148471493
7,sub-01,Subc.,0.28521899722277333
8,sub-01,VAN,0.2807445766131799
9,sub-01,Vis.,0.28771131818900625
10,sub-01,Whole Brain,0.2860464882709279
11,sub-02,Aud.,0.28703714513883205
12,sub-02,CON,0.28753091387025725
13,sub-02,DAN,0.283806765309344
14,sub-02,DMN,0.28275218080794307
15,sub-02,FPN,0.28215769545893415
16,sub-02,Motor,0.2847409420936094
17,sub-02,SAN,0.2836629229760142
18,sub-02,Subc.,0.2797019175951052
19,sub-02,VAN,0.29168714649079847
20,sub-02,Vis.,0.28417445322732404
21,sub-02,Whole Brain,0.28404366673475806
22,sub-03,Aud.,0.2770014778215495
23,sub-03,CON,0.27564266033111495
24,sub-03,DAN,0.2891692642024188
25,sub-03,DMN,0.29084210811760375
26,sub-03,FPN,0.2815841653830256
27,sub-03,Motor,0.28074049943242846
28,sub-03,SAN,0.28197460299297433
29,sub-03,Subc.,0.2913115935720308
30,sub-03,VAN,0.28335051183367865
31,sub-03,Vis.,0.290852352304419
32,sub-03,Whole Brain,0.28882651371167534
33,sub-04,Aud.,0.28527489967854175
34,sub-04,CON,0.28123369091283607
35,sub-04,DAN,0.28366027144332323
36,sub-04,DMN,0.2807604382636765
37,sub-04,FPN,0.285662985713854
38,sub-04,Motor,0.28185869731721414
39,sub-04,SAN,0.2844049658213117
40,sub-04,Subc.,0.29063200888006707
41,sub-04,VAN,0.2866841793446633
42,sub-04,Vis.,0.2857026314838371
43,sub-04,Whole Brain,0.28542098084359446
44,sub-05,Aud.,0.27619328969436674
45,sub-05,CON,0.28332296751514857
46,sub-05,DAN,0.29031355395328134
47,sub-05,DMN,0.2851113318804651
48,sub-05,FPN,0.2796486937344198
49,sub-05,Motor,0.2927922219141345
50,sub-05,SAN,0.2907882756332423
51,sub-05,Subc.,0.27449419624569515
52,sub-05,VAN,0.2810323704849978
53,sub-05,Vis.,0.2889268683620029
54,sub-05,Whole Brain,0.2886719802851653
55,sub-06,Aud.,0.282677725974438
56,sub-06,CON,0.2842857164816951
57,sub-06,DAN,0.2860263386765736
58,sub-06,DMN,0.28163897299987667
59,sub-06,FPN,0.2814755221902196
60,sub-06,Motor,0.2848896454411883
61,sub-06,SAN,0.28884563012196923
62,sub-06,Subc.,0.28374155311123483
63,sub-06,VAN,0.2864900465316565
64,sub-06,Vis.,0.2860793574913136
65,sub-06,Whole Brain,0.28514524068275404
66,sub-09,Aud.,0.29026250793470015
67,sub-09,CON,0.2792701843729617
68,sub-09,DAN,0.28852365459147694
69,sub-09,DMN,0.2824832645692663
70,sub-09,FPN,0.2848503157827467
71,sub-09,Motor,0.28492573481551003
72,sub-09,SAN,0.283681366627757
73,sub-09,Subc.,0.2861044733062228
74,sub-09,VAN,0.281572221111504
75,sub-09,Vis.,0.2849303372365692
76,sub-09,Whole Brain,0.284691689354205
77,sub-10,Aud.,0.2806510421533627
78,sub-10,CON,0.27817887008677294
79,sub-10,DAN,0.2922379967200328
80,sub-10,DMN,0.2899458668205679
81,sub-10,FPN,0.2825077140025298
82,sub-10,Motor,0.28013250376763305
83,sub-10,SAN,0.27866944144495503
84,sub-10,Subc.,0.2784460128918612
85,sub-10,VAN,0.2859444776072306
86,sub-10,Vis.,0.29674983904053015
87,sub-10,Whole Brain,0.2878319851674431
88,sub-14,Aud.,0.2742554268085317
89,sub-14,CON,0.283540090801373
90,sub-14,DAN,0.28797453786127075
91,sub-14,DMN,0.2890981292111984
92,sub-14,FPN,0.28059434420064505
93,sub-14,Motor,0.2754062488822536
94,sub-14,SAN,0.2804256611031488
95,sub-14,Subc.,0.29491065154133067
96,sub-14,VAN,0.2856476527951654
97,sub-14,Vis.,0.2912072540788317
98,sub-14,Whole Brain,0.28823575241917093
99,sub-15,Aud.,0.29701682888006037
100,sub-15,CON,0.2794799650682304
101,sub-15,DAN,0.2859076495493875
102,sub-15,DMN,0.2827511893425823
103,sub-15,FPN,0.28760587010498434
104,sub-15,Motor,0.27929860653597466
105,sub-15,SAN,0.280580434855148
106,sub-15,Subc.,0.2869329253227628
107,sub-15,VAN,0.2844589478090527
108,sub-15,Vis.,0.2827758139111545
109,sub-15,Whole Brain,0.28448751832358155
110,sub-16,Aud.,0.2824830597151252
111,sub-16,CON,0.2821327529535535
112,sub-16,DAN,0.2858887335240315
113,sub-16,DMN,0.2888765778332524
114,sub-16,FPN,0.28451686586672237
115,sub-16,Motor,0.28947787971430766
116,sub-16,SAN,0.2777760467420421
117,sub-16,Subc.,0.2684741361942984
118,sub-16,VAN,0.29381400770731403
119,sub-16,Vis.,0.29084987871677326
120,sub-16,Whole Brain,0.28700581073549913
121,sub-17,Aud.,0.2791258220410534
122,sub-17,CON,0.276602387316173
123,sub-17,DAN,0.29092218672371506
124,sub-17,DMN,0.28926551331833805
125,sub-17,FPN,0.2817096955239648
126,sub-17,Motor,0.28855788779432934
127,sub-17,SAN,0.2873324198025981
128,sub-17,Subc.,0.2721068987007015
129,sub-17,VAN,0.2866991790203507
130,sub-17,Vis.,0.29170755968033235
131,sub-17,Whole Brain,0.28726619978136464
132,sub-18,Aud.,0.27873816710892435
133,sub-18,CON,0.28573898648451396
134,sub-18,DAN,0.2864289233561861
135,sub-18,DMN,0.2899255930625702
136,sub-18,FPN,0.27850355898031554
137,sub-18,Motor,0.2773399460074852
138,sub-18,SAN,0.2825185359192907
139,sub-18,Subc.,0.2858749836680785
140,sub-18,VAN,0.2857695000862562
141,sub-18,Vis.,0.293121888479288
142,sub-18,Whole Brain,0.2873356665500112
143,sub-19,Aud.,0.27757425337323066
144,sub-19,CON,0.2819475756586336
145,sub-19,DAN,0.2887809802761217
146,sub-19,DMN,0.2855081068839679
147,sub-19,FPN,0.2827635905393055
148,sub-19,Motor,0.2817461343547516
149,sub-19,SAN,0.2844935239245276
150,sub-19,Subc.,0.28206419866221827
151,sub-19,VAN,0.290447500711199
152,sub-19,Vis.,0.28936828058068736
153,sub-19,Whole Brain,0.28660160473827606
154,sub-20,Aud.,0.27725018445867583
155,sub-20,CON,0.28814027511828627
156,sub-20,DAN,0.2846115608605871
157,sub-20,DMN,0.2890691996019497
158,sub-20,FPN,0.2864312833228157
159,sub-20,Motor,0.282954615286685
160,sub-20,SAN,0.2879146370298502
161,sub-20,Subc.,0.27502703670740336
162,sub-20,VAN,0.2901912559385329
163,sub-20,Vis.,0.2825489384882037
164,sub-20,Whole Brain,0.2871567628899301
