,subject,net2,MeanGVC
0,sub-01,Aud.,0.2389374071291445
1,sub-01,CON,0.23613945156611382
2,sub-01,DAN,0.2369499244393099
3,sub-01,DMN,0.23824075523685717
4,sub-01,FPN,0.2329239508458712
5,sub-01,Motor,0.23478220692425983
6,sub-01,SAN,0.23821566901582925
7,sub-01,Subc.,0.2379323009572307
8,sub-01,VAN,0.2303088235413608
9,sub-01,Vis.,0.23693944929839403
10,sub-01,Whole Brain,0.23685147305588963
11,sub-02,Aud.,0.23382541093473702
12,sub-02,CON,0.22923826463488609
13,sub-02,DAN,0.23928021523387713
14,sub-02,DMN,0.23347856726748198
15,sub-02,FPN,0.24231682070582286
16,sub-02,Motor,0.2387390410831233
17,sub-02,SAN,0.23435885094666278
18,sub-02,Subc.,0.24556510239113932
19,sub-02,VAN,0.23346622616753623
20,sub-02,Vis.,0.2313678647617652
21,sub-02,Whole Brain,0.23658504788322834
22,sub-03,Aud.,0.24313056634248606
23,sub-03,CON,0.23654183175933693
24,sub-03,DAN,0.23487136970785408
25,sub-03,DMN,0.23919432115859696
26,sub-03,FPN,0.23151508838630577
27,sub-03,Motor,0.23708339283224025
28,sub-03,SAN,0.23653424919821642
29,sub-03,Subc.,0.23600039827662786
30,sub-03,VAN,0.2384721262569709
31,sub-03,Vis.,0.2289015596317186
32,sub-03,Whole Brain,0.23597650845990667
33,sub-04,Aud.,0.25053387856941084
34,sub-04,CON,0.24099441534140828
35,sub-04,DAN,0.2458058317094178
36,sub-04,DMN,0.2394804252884022
37,sub-04,FPN,0.22736361122751986
38,sub-04,Motor,0.2409843621307994
39,sub-04,SAN,0.2279382322242701
40,sub-04,Subc.,0.2358972553808587
41,sub-04,VAN,0.22076707637703857
42,sub-04,Vis.,0.2310773293553126
43,sub-04,Whole Brain,0.23737899440582222
44,sub-05,Aud.,0.2348047130750201
45,sub-05,CON,0.23102243331910513
46,sub-05,DAN,0.23515419231822146
47,sub-05,DMN,0.23983737371065447
48,sub-05,FPN,0.23391417372556297
49,sub-05,Motor,0.23926865761316085
50,sub-05,SAN,0.2378995075406489
51,sub-05,Subc.,0.2335451261669852
