net2,MeanBVC
Aud.,0.013417080379752111
CON,0.01057822362795291
DAN,0.008764474050276458
DMN,0.0070047962223726765
FPN,0.010524281378967557
Motor,0.009656638359714117
SAN,0.011808200623589905
Subc.,0.009407220111667648
VAN,0.012623335656790875
Vis.,0.010720686471591972
Whole Brain,0.004323411764973959
