net2,MeanBVC
Aud.,0.2848224459477659
CON,0.29022248160456654
DAN,0.29577516007170446
DMN,0.295738606440386
FPN,0.28770852062189733
Motor,0.2882501294580096
SAN,0.29411579144506533
Subc.,0.2964896561737419
VAN,0.2951425196754496
Vis.,0.29833004529191437
Whole Brain,0.2943651612806871
