,subject,net2,MeanGVC
0,sub-01,Aud.,0.3200231862401176
1,sub-01,CON,0.32234226378170416
2,sub-01,DAN,0.320507122075057
3,sub-01,DMN,0.3218404368091234
4,sub-01,FPN,0.31764197906189895
5,sub-01,Motor,0.3205330721090063
6,sub-01,SAN,0.3233829990770226
7,sub-01,Subc.,0.3207867001434379
8,sub-01,VAN,0.3130505167198626
9,sub-01,Vis.,0.32223463673280967
10,sub-01,Whole Brain,0.32116800587449307
11,sub-02,Aud.,0.32888085815005996
12,sub-02,CON,0.32532701942388687
13,sub-02,DAN,0.3187742430138082
14,sub-02,DMN,0.3187420652577417
15,sub-02,FPN,0.3210970265134
16,sub-02,Motor,0.32176671020097136
17,sub-02,SAN,0.3182385314470897
18,sub-02,Subc.,0.3115061322173763
19,sub-02,VAN,0.32331384446192724
20,sub-02,Vis.,0.3167994981465012
21,sub-02,Whole Brain,0.31906498979177056
22,sub-03,Aud.,0.31707677682072444
23,sub-03,CON,0.311955093688854
24,sub-03,DAN,0.3265271689706837
25,sub-03,DMN,0.32567665344435903
26,sub-03,FPN,0.32027543658451224
27,sub-03,Motor,0.31742593281198384
28,sub-03,SAN,0.3177162194561267
29,sub-03,Subc.,0.3161284288275107
30,sub-03,VAN,0.32208458476558827
31,sub-03,Vis.,0.3261418025004011
32,sub-03,Whole Brain,0.3225028207537885
33,sub-04,Aud.,0.32073312643235224
34,sub-04,CON,0.31798289803912644
35,sub-04,DAN,0.3207138928667309
36,sub-04,DMN,0.31862059659346803
37,sub-04,FPN,0.3220605234974647
38,sub-04,Motor,0.3172066513928196
39,sub-04,SAN,0.31932425964362776
40,sub-04,Subc.,0.32391150731561164
41,sub-04,VAN,0.3207756635340162
42,sub-04,Vis.,0.32123931538045436
43,sub-04,Whole Brain,0.3209424839288611
44,sub-05,Aud.,0.31736200726159286
45,sub-05,CON,0.31382055955112453
46,sub-05,DAN,0.3258811493817282
47,sub-05,DMN,0.31721152300277233
48,sub-05,FPN,0.31674367434975753
49,sub-05,Motor,0.3263828507588573
50,sub-05,SAN,0.32394951594764004
51,sub-05,Subc.,0.31176425416705916
52,sub-05,VAN,0.3209834043525191
53,sub-05,Vis.,0.3273375000253646
54,sub-05,Whole Brain,0.3220744798261164
55,sub-06,Aud.,0.3152093937869957
56,sub-06,CON,0.32294686542289963
57,sub-06,DAN,0.3179706863741327
58,sub-06,DMN,0.3187318717342364
59,sub-06,FPN,0.3212598655734778
60,sub-06,Motor,0.3222285183728901
61,sub-06,SAN,0.3205071949375172
62,sub-06,Subc.,0.3173686206283501
63,sub-06,VAN,0.32319548072595067
64,sub-06,Vis.,0.3230537062728081
65,sub-06,Whole Brain,0.3210387147952746
66,sub-09,Aud.,0.32546627535390815
67,sub-09,CON,0.3165991168517588
68,sub-09,DAN,0.3237761953098314
69,sub-09,DMN,0.31885852988370106
70,sub-09,FPN,0.32211870257396713
71,sub-09,Motor,0.32460712619206583
72,sub-09,SAN,0.3167222943737984
73,sub-09,Subc.,0.31912830845901774
74,sub-09,VAN,0.31511289034018547
