,subject,net2,MeanBVC
0,sub-01,Aud.,0.27645381634249977
1,sub-01,CON,0.28594214024592185
2,sub-01,DAN,0.28402370613005073
3,sub-01,DMN,0.293907956336998
4,sub-01,FPN,0.28171730733095746
5,sub-01,Motor,0.2818641393454887
6,sub-01,SAN,0.2909154834563516
7,sub-01,Subc.,0.2862061276250724
8,sub-01,VAN,0.2846754300381711
9,sub-01,Vis.,0.28893639159505374
10,sub-01,Whole Brain,0.2877272404497577
11,sub-02,Aud.,0.28430706927155946
12,sub-02,CON,0.28786968165655774
13,sub-02,DAN,0.2846140349199435
14,sub-02,DMN,0.28348751819028234
15,sub-02,FPN,0.27971641852885376
16,sub-02,Motor,0.2864042367469607
17,sub-02,SAN,0.28449262499786415
18,sub-02,Subc.,0.2839909600324162
19,sub-02,VAN,0.29553583704862624
20,sub-02,Vis.,0.2867306448164607
21,sub-02,Whole Brain,0.285220712686797
22,sub-03,Aud.,0.2785944298333831
23,sub-03,CON,0.2773864209461737
24,sub-03,DAN,0.2895949029219405
25,sub-03,DMN,0.2915600141242311
26,sub-03,FPN,0.28002217650643574
27,sub-03,Motor,0.27969317764413193
28,sub-03,SAN,0.28166850513260266
29,sub-03,Subc.,0.29627252907731605
30,sub-03,VAN,0.2834345396638098
31,sub-03,Vis.,0.2955222200442421
32,sub-03,Whole Brain,0.2886208230020564
33,sub-04,Aud.,0.28657630245959836
34,sub-04,CON,0.28232358588957907
35,sub-04,DAN,0.28438063256826485
36,sub-04,DMN,0.28093859396629817
37,sub-04,FPN,0.2858696638718598
38,sub-04,Motor,0.2816852130802388
39,sub-04,SAN,0.2876598750608199
40,sub-04,Subc.,0.2931925560227641
41,sub-04,VAN,0.28662495472288274
42,sub-04,Vis.,0.28628668130493395
43,sub-04,Whole Brain,0.2868316799490833
44,sub-05,Aud.,0.2778425857509256
45,sub-05,CON,0.28583839578598785
46,sub-05,DAN,0.2894384417906677
47,sub-05,DMN,0.2870650922384936
48,sub-05,FPN,0.28087421235667864
49,sub-05,Motor,0.292983746758965
50,sub-05,SAN,0.29235739822855317
51,sub-05,Subc.,0.2787954270233676
52,sub-05,VAN,0.2783530947810382
