net2,MeanGVC
Aud.,0.026260154962572155
CON,0.015014822792512627
DAN,0.013742086999122452
DMN,0.010559420237956982
FPN,0.016032949411203944
Motor,0.01623692749211574
SAN,0.01729582424913757
Subc.,0.012471138388602348
VAN,0.020512123514273194
Vis.,0.02103055440894436
Whole Brain,0.006858706831013687
