,subject,net1,net2,MeanBVC
0,sub-01,FPN,CON,0.18353687848073622
1,sub-01,FPN,SAN,0.1849702311463456
2,sub-01,FPN,VAN,0.18069367868442798
3,sub-01,FPN,DAN,0.18762210411031657
4,sub-01,FPN,DMN,0.18547531549043822
5,sub-01,FPN,Motor,0.1853939595592097
6,sub-01,FPN,Aud.,0.18538191463792913
7,sub-01,FPN,Vis.,0.1808860756873584
8,sub-01,FPN,Subc.,0.186913146221107
9,sub-01,FPN,Whole Brain,0.1834674984929834
10,sub-01,CON,FPN,0.18818952980626566
11,sub-01,CON,SAN,0.19696290738948127
12,sub-01,CON,VAN,0.18536170106198369
13,sub-01,CON,DAN,0.1927576562989211
14,sub-01,CON,DMN,0.1975803735079605
15,sub-01,CON,Motor,0.19015866404502094
16,sub-01,CON,Aud.,0.20011881186406236
17,sub-01,CON,Vis.,0.197371211884366
18,sub-01,CON,Subc.,0.19317664859565403
19,sub-01,CON,Whole Brain,0.19405507397815827
20,sub-01,SAN,FPN,0.18728525943309401
21,sub-01,SAN,CON,0.19478704207926598
22,sub-01,SAN,VAN,0.19076204828003054
23,sub-01,SAN,DAN,0.19106082774085575
24,sub-01,SAN,DMN,0.19558299992820743
25,sub-01,SAN,Motor,0.18908298882697472
26,sub-01,SAN,Aud.,0.19424724609262276
27,sub-01,SAN,Vis.,0.19653072084404807
28,sub-01,SAN,Subc.,0.19763722064842293
29,sub-01,SAN,Whole Brain,0.19311068267519937
30,sub-01,VAN,FPN,0.19137907929554077
31,sub-01,VAN,CON,0.18896050979602072
32,sub-01,VAN,SAN,0.19789685371537663
33,sub-01,VAN,DAN,0.18947680815714593
34,sub-01,VAN,DMN,0.19452274205088949
35,sub-01,VAN,Motor,0.18781827775961618
36,sub-01,VAN,Aud.,0.1900191354988912
37,sub-01,VAN,Vis.,0.190500935595993
38,sub-01,VAN,Subc.,0.19192681443685763
39,sub-01,VAN,Whole Brain,0.19043474771485203
40,sub-01,DAN,FPN,0.19228363582060204
41,sub-01,DAN,CON,0.19313104385737961
42,sub-01,DAN,SAN,0.19419079851300727
43,sub-01,DAN,VAN,0.1847962127274762
44,sub-01,DAN,DMN,0.1948899603419312
45,sub-01,DAN,Motor,0.1900897604645363
46,sub-01,DAN,Aud.,0.20053850778804852
47,sub-01,DAN,Vis.,0.19395708795222208
48,sub-01,DAN,Subc.,0.19633419286692394
49,sub-01,DAN,Whole Brain,0.19297138747285036
50,sub-01,DMN,FPN,0.18699830393010403
51,sub-01,DMN,CON,0.1944683302919232
52,sub-01,DMN,SAN,0.19513031018765956
53,sub-01,DMN,VAN,0.18760406462819662
54,sub-01,DMN,DAN,0.19130615566771397
55,sub-01,DMN,Motor,0.18646792916413266
56,sub-01,DMN,Aud.,0.1930227966343271
57,sub-01,DMN,Vis.,0.1940092049313056
58,sub-01,DMN,Subc.,0.1919264790831617
59,sub-01,DMN,Whole Brain,0.19114647059062193
60,sub-01,Motor,FPN,0.1908821099019325
61,sub-01,Motor,CON,0.1915532226623513
62,sub-01,Motor,SAN,0.19269392338493183
63,sub-01,Motor,VAN,0.18401724299060382
64,sub-01,Motor,DAN,0.19081591627821387
65,sub-01,Motor,DMN,0.19032140603133071
66,sub-01,Motor,Aud.,0.19321557386638044
67,sub-01,Motor,Vis.,0.18930932191773162
68,sub-01,Motor,Subc.,0.1934366419669888
69,sub-01,Motor,Whole Brain,0.1899569289445229
70,sub-01,Aud.,FPN,0.18600598898869222
71,sub-01,Aud.,CON,0.19788724914831796
72,sub-01,Aud.,SAN,0.1934499343577838
73,sub-01,Aud.,VAN,0.1842889354832535
74,sub-01,Aud.,DAN,0.19705066426742768
75,sub-01,Aud.,DMN,0.19311518889967894
76,sub-01,Aud.,Motor,0.18920014868764287
77,sub-01,Aud.,Vis.,0.19483366856167345
78,sub-01,Aud.,Subc.,0.19771186122296935
79,sub-01,Aud.,Whole Brain,0.19238443036605754
80,sub-01,Vis.,FPN,0.17972856930036774
81,sub-01,Vis.,CON,0.19287762341850412
82,sub-01,Vis.,SAN,0.19394022513654516
83,sub-01,Vis.,VAN,0.18094338960781253
84,sub-01,Vis.,DAN,0.18872220363290562
85,sub-01,Vis.,DMN,0.19193182064464276
86,sub-01,Vis.,Motor,0.1829724411712478
87,sub-01,Vis.,Aud.,0.1934298380664631
88,sub-01,Vis.,Subc.,0.18904588617069246
89,sub-01,Vis.,Whole Brain,0.18859664488946865
90,sub-01,Subc.,FPN,0.1833205344508347
91,sub-01,Subc.,CON,0.1870545140597307
92,sub-01,Subc.,SAN,0.19329809951053226
93,sub-01,Subc.,VAN,0.1801883160786557
94,sub-01,Subc.,DAN,0.18853961163442104
95,sub-01,Subc.,DMN,0.18796096213426208
96,sub-01,Subc.,Motor,0.1855628710097127
97,sub-01,Subc.,Aud.,0.19387063785052683
98,sub-01,Subc.,Vis.,0.18766686087087286
99,sub-01,Subc.,Whole Brain,0.18690711298655685
100,sub-01,Whole Brain,FPN,0.18577710401236977
101,sub-01,Whole Brain,CON,0.1920826535109432
102,sub-01,Whole Brain,SAN,0.19349531101792825
103,sub-01,Whole Brain,VAN,0.1839572105188364
104,sub-01,Whole Brain,DAN,0.19041238271349684
105,sub-01,Whole Brain,DMN,0.19205418856116674
106,sub-01,Whole Brain,Motor,0.18682376229923925
107,sub-01,Whole Brain,Aud.,0.1933793054695541
108,sub-01,Whole Brain,Vis.,0.1915298684330349
109,sub-01,Whole Brain,Subc.,0.19177425473915993
110,sub-02,FPN,CON,0.16999909274557629
111,sub-02,FPN,SAN,0.1732359118145796
112,sub-02,FPN,VAN,0.17554450120544748
113,sub-02,FPN,DAN,0.1790547407726721
114,sub-02,FPN,DMN,0.1721600522981352
115,sub-02,FPN,Motor,0.17975515614782483
116,sub-02,FPN,Aud.,0.17521263694269826
117,sub-02,FPN,Vis.,0.1696557845939834
118,sub-02,FPN,Subc.,0.1847997562368933
119,sub-02,FPN,Whole Brain,0.17512056327338513
120,sub-02,CON,FPN,0.17674795792636486
121,sub-02,CON,SAN,0.17750025935983793
122,sub-02,CON,VAN,0.1707978972161385
123,sub-02,CON,DAN,0.17564905241266465
124,sub-02,CON,DMN,0.1735251728367036
125,sub-02,CON,Motor,0.17651932759924804
126,sub-02,CON,Aud.,0.1804205039538614
127,sub-02,CON,Vis.,0.17452138272377543
128,sub-02,CON,Subc.,0.1806544119356924
129,sub-02,CON,Whole Brain,0.17570612502243002
130,sub-02,SAN,FPN,0.18611008263690235
131,sub-02,SAN,CON,0.1816574802464305
132,sub-02,SAN,VAN,0.18568027661068712
133,sub-02,SAN,DAN,0.18726645951405402
134,sub-02,SAN,DMN,0.18559712563583972
135,sub-02,SAN,Motor,0.1889957859093981
136,sub-02,SAN,Aud.,0.1859411803888938
137,sub-02,SAN,Vis.,0.18256849680698478
138,sub-02,SAN,Subc.,0.19409168292019818
139,sub-02,SAN,Whole Brain,0.18563374335242733
140,sub-02,VAN,FPN,0.18428072962552283
141,sub-02,VAN,CON,0.16989185280345925
142,sub-02,VAN,SAN,0.18041086617107194
143,sub-02,VAN,DAN,0.18043461063776123
144,sub-02,VAN,DMN,0.18312265152218812
145,sub-02,VAN,Motor,0.18303286726925672
146,sub-02,VAN,Aud.,0.1799481558871986
147,sub-02,VAN,Vis.,0.1773960953096854
148,sub-02,VAN,Subc.,0.18560775626895465
149,sub-02,VAN,Whole Brain,0.180164076007092
150,sub-02,DAN,FPN,0.1839108269988636
151,sub-02,DAN,CON,0.17325410120964221
152,sub-02,DAN,SAN,0.17970846623139297
153,sub-02,DAN,VAN,0.17635831935740096
154,sub-02,DAN,DMN,0.17705705654400158
155,sub-02,DAN,Motor,0.18100355526865508
156,sub-02,DAN,Aud.,0.1821250711914186
157,sub-02,DAN,Vis.,0.1716225860387954
158,sub-02,DAN,Subc.,0.18542265898608348
159,sub-02,DAN,Whole Brain,0.17819049445204943
160,sub-02,DMN,FPN,0.1808424100495451
161,sub-02,DMN,CON,0.17428978028286218
162,sub-02,DMN,SAN,0.18232394702272425
163,sub-02,DMN,VAN,0.18388644840955815
164,sub-02,DMN,DAN,0.18064797223210408
165,sub-02,DMN,Motor,0.17968141144103938
166,sub-02,DMN,Aud.,0.18237472445469846
167,sub-02,DMN,Vis.,0.17564231963223115
168,sub-02,DMN,Subc.,0.18441639758540587
169,sub-02,DMN,Whole Brain,0.17938553686028455
170,sub-02,Motor,FPN,0.1911054798321047
171,sub-02,Motor,CON,0.18067846450956102
172,sub-02,Motor,SAN,0.18713498213461813
173,sub-02,Motor,VAN,0.18675084864825425
174,sub-02,Motor,DAN,0.1891188288656886
175,sub-02,Motor,DMN,0.18263094129068977
176,sub-02,Motor,Aud.,0.1865726839190219
177,sub-02,Motor,Vis.,0.1802305636496596
178,sub-02,Motor,Subc.,0.19395550925679042
179,sub-02,Motor,Whole Brain,0.18459738518915406
180,sub-02,Aud.,FPN,0.18438176564822184
181,sub-02,Aud.,CON,0.18407156112608822
182,sub-02,Aud.,SAN,0.185603937974339
183,sub-02,Aud.,VAN,0.18292386518804277
184,sub-02,Aud.,DAN,0.1885500641672716
185,sub-02,Aud.,DMN,0.1843079642546235
186,sub-02,Aud.,Motor,0.18596058473934948
187,sub-02,Aud.,Vis.,0.1816045969680841
188,sub-02,Aud.,Subc.,0.19273956801488537
189,sub-02,Aud.,Whole Brain,0.18450371287759815
190,sub-02,Vis.,FPN,0.17525051051914636
191,sub-02,Vis.,CON,0.17167974961391774
192,sub-02,Vis.,SAN,0.17518380150255958
193,sub-02,Vis.,VAN,0.17432081315898887
194,sub-02,Vis.,DAN,0.1718645158607435
195,sub-02,Vis.,DMN,0.1720671854994309
196,sub-02,Vis.,Motor,0.17369043617091276
197,sub-02,Vis.,Aud.,0.17537848745647297
198,sub-02,Vis.,Subc.,0.1775533488343124
199,sub-02,Vis.,Whole Brain,0.17265629923233042
200,sub-02,Subc.,FPN,0.18156344471957353
201,sub-02,Subc.,CON,0.17362127223419277
202,sub-02,Subc.,SAN,0.18041624904516024
203,sub-02,Subc.,VAN,0.17758464931311996
204,sub-02,Subc.,DAN,0.180778374023192
205,sub-02,Subc.,DMN,0.17500885278979855
206,sub-02,Subc.,Motor,0.18120354282044993
207,sub-02,Subc.,Aud.,0.18288369761424403
208,sub-02,Subc.,Vis.,0.17125918371844367
209,sub-02,Subc.,Whole Brain,0.17750170973498913
210,sub-02,Whole Brain,FPN,0.18180526111040257
211,sub-02,Whole Brain,CON,0.1752066922901127
212,sub-02,Whole Brain,SAN,0.18028934817657843
213,sub-02,Whole Brain,VAN,0.17947237732276783
214,sub-02,Whole Brain,DAN,0.18056843428799432
215,sub-02,Whole Brain,DMN,0.17785183347167177
216,sub-02,Whole Brain,Motor,0.18008833245543965
217,sub-02,Whole Brain,Aud.,0.1809744992085459
218,sub-02,Whole Brain,Vis.,0.17470126612850334
219,sub-02,Whole Brain,Subc.,0.18560530482194504
220,sub-03,FPN,CON,0.2271558017902672
221,sub-03,FPN,SAN,0.2234318620923392
222,sub-03,FPN,VAN,0.22723929333660509
223,sub-03,FPN,DAN,0.22791714479939504
224,sub-03,FPN,DMN,0.22834636646978354
225,sub-03,FPN,Motor,0.22881743367390375
226,sub-03,FPN,Aud.,0.23573097774291094
227,sub-03,FPN,Vis.,0.21731846335190783
228,sub-03,FPN,Subc.,0.22915724065270068
229,sub-03,FPN,Whole Brain,0.22493973594660802
230,sub-03,CON,FPN,0.23061668540010177
231,sub-03,CON,SAN,0.23672364141909438
232,sub-03,CON,VAN,0.23306750449535213
233,sub-03,CON,DAN,0.2356063945117954
234,sub-03,CON,DMN,0.24443428958934496
235,sub-03,CON,Motor,0.23722469714126818
236,sub-03,CON,Aud.,0.2544253886822238
237,sub-03,CON,Vis.,0.2298653491539058
238,sub-03,CON,Subc.,0.23998820430361079
239,sub-03,CON,Whole Brain,0.2378682626478016
240,sub-03,SAN,FPN,0.22767803366876277
241,sub-03,SAN,CON,0.238297641200698
242,sub-03,SAN,VAN,0.23661871290763273
243,sub-03,SAN,DAN,0.23277859244910593
244,sub-03,SAN,DMN,0.23960472565395713
245,sub-03,SAN,Motor,0.2377845011649457
246,sub-03,SAN,Aud.,0.24848641664162743
247,sub-03,SAN,Vis.,0.2284661443387231
248,sub-03,SAN,Subc.,0.23791065205301576
249,sub-03,SAN,Whole Brain,0.2350883876620989
250,sub-03,VAN,FPN,0.23204889473095944
251,sub-03,VAN,CON,0.23419600368945165
252,sub-03,VAN,SAN,0.2366083354716902
253,sub-03,VAN,DAN,0.23602757244572414
254,sub-03,VAN,DMN,0.24103587375323887
255,sub-03,VAN,Motor,0.2402862780407347
256,sub-03,VAN,Aud.,0.24407105313096614
257,sub-03,VAN,Vis.,0.22487060765497047
258,sub-03,VAN,Subc.,0.2329517707872331
259,sub-03,VAN,Whole Brain,0.23444126151390723
260,sub-03,DAN,FPN,0.2319387785531871
261,sub-03,DAN,CON,0.23558537181862785
262,sub-03,DAN,SAN,0.23239360345919313
263,sub-03,DAN,VAN,0.23541613645385454
264,sub-03,DAN,DMN,0.23830736338204536
265,sub-03,DAN,Motor,0.23800589121308588
266,sub-03,DAN,Aud.,0.24911630542440932
267,sub-03,DAN,Vis.,0.22402309022875663
268,sub-03,DAN,Subc.,0.2371464071907636
269,sub-03,DAN,Whole Brain,0.23425659924806802
270,sub-03,DMN,FPN,0.22985123207908342
271,sub-03,DMN,CON,0.2428267362968223
272,sub-03,DMN,SAN,0.23644386506928916
273,sub-03,DMN,VAN,0.23870595404195988
274,sub-03,DMN,DAN,0.23586184818930306
275,sub-03,DMN,Motor,0.2379804467103205
276,sub-03,DMN,Aud.,0.2511696384657249
277,sub-03,DMN,Vis.,0.22785786713079084
278,sub-03,DMN,Subc.,0.23626830432621182
279,sub-03,DMN,Whole Brain,0.23606185355543954
280,sub-03,Motor,FPN,0.23331689350782855
281,sub-03,Motor,CON,0.23810082377861766
282,sub-03,Motor,SAN,0.2368239018235574
283,sub-03,Motor,VAN,0.2395246550538214
284,sub-03,Motor,DAN,0.23826576384169051
