,subject,net2,MeanGVC
0,sub-01,Aud.,0.2910701538177909
1,sub-01,CON,0.312703869096769
2,sub-01,DAN,0.308762181106195
3,sub-01,DMN,0.32651971693698056
4,sub-01,FPN,0.30472044286938516
5,sub-01,Motor,0.30178817008150777
6,sub-01,SAN,0.32299424952118266
7,sub-01,Subc.,0.31287810813332695
8,sub-01,VAN,0.31791358577804535
9,sub-01,Vis.,0.31690581969720405
10,sub-01,Whole Brain,0.31497413649471856
11,sub-02,Aud.,0.29561860702935366
12,sub-02,CON,0.31380751374224614
13,sub-02,DAN,0.3125314283284394
14,sub-02,DMN,0.3083038490573711
15,sub-02,FPN,0.2982057021859324
16,sub-02,Motor,0.3088766662168572
17,sub-02,SAN,0.31453723223612146
18,sub-02,Subc.,0.31689698332915545
19,sub-02,VAN,0.3310707449641948
20,sub-02,Vis.,0.31909717739772964
21,sub-02,Whole Brain,0.3122845290457049
22,sub-03,Aud.,0.28887994001982753
23,sub-03,CON,0.3077039404590545
24,sub-03,DAN,0.316806304516545
25,sub-03,DMN,0.3220765911745391
26,sub-03,FPN,0.3028020401961251
27,sub-03,Motor,0.30152914415428006
28,sub-03,SAN,0.30501236099916823
29,sub-03,Subc.,0.3420231824630867
30,sub-03,VAN,0.30596106660301287
31,sub-03,Vis.,0.31732787989962113
32,sub-03,Whole Brain,0.32110798304784594
33,sub-04,Aud.,0.30925175525460474
34,sub-04,CON,0.30583748422747287
35,sub-04,DAN,0.3119642751029426
36,sub-04,DMN,0.30136135997641733
37,sub-04,FPN,0.31384125993297596
38,sub-04,Motor,0.3055303621547113
39,sub-04,SAN,0.3166987455326057
40,sub-04,Subc.,0.32760009977586424
41,sub-04,VAN,0.3121534470690085
42,sub-04,Vis.,0.3129072067606019
43,sub-04,Whole Brain,0.31408443774590095
44,sub-05,Aud.,0.28769207848807804
45,sub-05,CON,0.31944430678408225
46,sub-05,DAN,0.320508318693384
47,sub-05,DMN,0.31856437004888033
48,sub-05,FPN,0.2963290862591087
49,sub-05,Motor,0.3193452446836902
50,sub-05,SAN,0.32224300445697657
51,sub-05,Subc.,0.30727176477319196
52,sub-05,VAN,0.3022871810612477
53,sub-05,Vis.,0.3167209089079255
54,sub-05,Whole Brain,0.32082416937654135
55,sub-06,Aud.,0.31556176829174104
56,sub-06,CON,0.3051537779816636
57,sub-06,DAN,0.3194220291452299
58,sub-06,DMN,0.3071309107760893
59,sub-06,FPN,0.3056532936623479
60,sub-06,Motor,0.30841933697185914
61,sub-06,SAN,0.3264601594155315
62,sub-06,Subc.,0.31382090159351733
63,sub-06,VAN,0.3079642432959732
64,sub-06,Vis.,0.3095539637346263
65,sub-06,Whole Brain,0.3120900486645268
66,sub-09,Aud.,0.3083071236185275
67,sub-09,CON,0.30427484885022427
68,sub-09,DAN,0.31824889603259715
69,sub-09,DMN,0.30564406655081244
70,sub-09,FPN,0.30673300151014743
71,sub-09,Motor,0.3036416886104456
72,sub-09,SAN,0.32092316745095545
73,sub-09,Subc.,0.3209255085004417
74,sub-09,VAN,0.31902062423977817
75,sub-09,Vis.,0.31123789057555823
76,sub-09,Whole Brain,0.3122736175936182
77,sub-10,Aud.,0.29729982921254944
78,sub-10,CON,0.31351795624781836
79,sub-10,DAN,0.32141484541927645
80,sub-10,DMN,0.3194296696091148
81,sub-10,FPN,0.297686124236986
82,sub-10,Motor,0.3038675118861921
83,sub-10,SAN,0.3062632199115855
84,sub-10,Subc.,0.3148516806062171
85,sub-10,VAN,0.3128481036609139
86,sub-10,Vis.,0.32600737017863135
87,sub-10,Whole Brain,0.31804412256382153
88,sub-14,Aud.,0.28320285727659594
89,sub-14,CON,0.31136029369194756
90,sub-14,DAN,0.3212015152947392
91,sub-14,DMN,0.3250752748998979
92,sub-14,FPN,0.2998734376325893
93,sub-14,Motor,0.2942860315919758
94,sub-14,SAN,0.3119523553757921
95,sub-14,Subc.,0.3364921352301668
96,sub-14,VAN,0.3143433665489697
97,sub-14,Vis.,0.3128772437947912
98,sub-14,Whole Brain,0.32056592219564
99,sub-15,Aud.,0.3176856566653079
100,sub-15,CON,0.30302779526098694
101,sub-15,DAN,0.31774835797013234
102,sub-15,DMN,0.3077365239153991
103,sub-15,FPN,0.31108208226156403
104,sub-15,Motor,0.3020849415343385
105,sub-15,SAN,0.31124707190468703
106,sub-15,Subc.,0.3202501439037597
107,sub-15,VAN,0.3180017990602638
108,sub-15,Vis.,0.30998332645031107
109,sub-15,Whole Brain,0.31238273460635607
110,sub-16,Aud.,0.287386266883795
111,sub-16,CON,0.3133706615413559
112,sub-16,DAN,0.31849890154345534
113,sub-16,DMN,0.32621889025249806
114,sub-16,FPN,0.30394467647081364
115,sub-16,Motor,0.31055829745880553
116,sub-16,SAN,0.3003280447139134
117,sub-16,Subc.,0.31858287984549016
118,sub-16,VAN,0.3095340132084385
119,sub-16,Vis.,0.32181910120043206
120,sub-16,Whole Brain,0.3209887004141091
121,sub-17,Aud.,0.2855920355051852
122,sub-17,CON,0.30842119182546546
123,sub-17,DAN,0.3192982306456999
124,sub-17,DMN,0.32267003809390216
125,sub-17,FPN,0.30599353384332467
126,sub-17,Motor,0.30972127554709755
127,sub-17,SAN,0.31793732083528536
128,sub-17,Subc.,0.31373464451476535
129,sub-17,VAN,0.3128071343891206
130,sub-17,Vis.,0.31571929889356204
131,sub-17,Whole Brain,0.31933572943969774
132,sub-18,Aud.,0.29320352493044904
133,sub-18,CON,0.3135941830792756
134,sub-18,DAN,0.3122561178587154
135,sub-18,DMN,0.323223588437327
136,sub-18,FPN,0.29008628372318745
137,sub-18,Motor,0.2971655537779881
138,sub-18,SAN,0.3110594193556813
139,sub-18,Subc.,0.33341333998317396
140,sub-18,VAN,0.3178544936599315
141,sub-18,Vis.,0.32050617290036354
142,sub-18,Whole Brain,0.31886775582701343
143,sub-19,Aud.,0.2834549780362421
144,sub-19,CON,0.3136124324121565
145,sub-19,DAN,0.31952602172468914
146,sub-19,DMN,0.3194835985860215
147,sub-19,FPN,0.3042717866494958
148,sub-19,Motor,0.29966218209205303
149,sub-19,SAN,0.31233632237920866
150,sub-19,Subc.,0.3216890954412808
151,sub-19,VAN,0.32166849005299114
152,sub-19,Vis.,0.3170777343926163
