,subject,net2,MeanGVC
0,sub-01,Aud.,0.27709651248989275
1,sub-01,CON,0.2919835845920812
2,sub-01,DAN,0.2884445520804277
3,sub-01,DMN,0.3020293347088929
4,sub-01,FPN,0.285449226894079
5,sub-01,Motor,0.2836726322553952
6,sub-01,SAN,0.2978707000790615
7,sub-01,Subc.,0.2916591755732119
8,sub-01,VAN,0.29138606286137786
9,sub-01,Vis.,0.2943823873550953
10,sub-01,Whole Brain,0.29317312571999715
11,sub-02,Aud.,0.28287534344187565
12,sub-02,CON,0.29300982000818016
13,sub-02,DAN,0.290350687768223
14,sub-02,DMN,0.28781250946634435
15,sub-02,FPN,0.2812221681837863
16,sub-02,Motor,0.2894341324053752
17,sub-02,SAN,0.2915185193500325
18,sub-02,Subc.,0.29206312667518264
19,sub-02,VAN,0.30324609014838433
20,sub-02,Vis.,0.2949986546122153
21,sub-02,Whole Brain,0.2906162425499129
22,sub-03,Aud.,0.2748762910835199
23,sub-03,CON,0.2832662762499178
24,sub-03,DAN,0.29513152338631765
25,sub-03,DMN,0.2992059167341629
26,sub-03,FPN,0.2836169237958697
27,sub-03,Motor,0.2832256617254436
28,sub-03,SAN,0.28681999618666787
29,sub-03,Subc.,0.3114098979286574
30,sub-03,VAN,0.2850865542297418
31,sub-03,Vis.,0.296879628104328
32,sub-03,Whole Brain,0.29762862518488514
33,sub-04,Aud.,0.28936233240876086
34,sub-04,CON,0.285981027805049
35,sub-04,DAN,0.2901719400131864
36,sub-04,DMN,0.2825047950536071
37,sub-04,FPN,0.2916691394595921
38,sub-04,Motor,0.28621953478866186
39,sub-04,SAN,0.29330351769192364
40,sub-04,Subc.,0.3026711788524245
41,sub-04,VAN,0.2913596706740582
42,sub-04,Vis.,0.29168895905833286
43,sub-04,Whole Brain,0.2922151988039156
44,sub-05,Aud.,0.2731585921331505
45,sub-05,CON,0.29522812304354934
46,sub-05,DAN,0.29786698084711394
47,sub-05,DMN,0.2952532261474847
48,sub-05,FPN,0.2796187656015218
49,sub-05,Motor,0.29807724940617536
50,sub-05,SAN,0.2992432754028396
51,sub-05,Subc.,0.2838395856965295
52,sub-05,VAN,0.28227631808282244
53,sub-05,Vis.,0.2949380893529938
54,sub-05,Whole Brain,0.2976470888953302
55,sub-06,Aud.,0.29335390690576574
56,sub-06,CON,0.2867038832934888
57,sub-06,DAN,0.294953965636432
58,sub-06,DMN,0.28707725205868573
59,sub-06,FPN,0.2847363449068952
60,sub-06,Motor,0.28971562454599564
61,sub-06,SAN,0.2990560146028346
62,sub-06,Subc.,0.29218153006094333
63,sub-06,VAN,0.2880377493479021
64,sub-06,Vis.,0.2903063162127138
65,sub-06,Whole Brain,0.2910247070378547
66,sub-09,Aud.,0.2921882661980337
67,sub-09,CON,0.28337517468847556
68,sub-09,DAN,0.29555509713983535
69,sub-09,DMN,0.2861562346589285
70,sub-09,FPN,0.2883156167446331
71,sub-09,Motor,0.28573016754730923
72,sub-09,SAN,0.2959197825761529
73,sub-09,Subc.,0.29515911880794543
74,sub-09,VAN,0.29346799415401753
75,sub-09,Vis.,0.2903797586812912
76,sub-09,Whole Brain,0.2909000834128907
77,sub-10,Aud.,0.27969742618252463
78,sub-10,CON,0.28823239326890043
79,sub-10,DAN,0.2991209642927013
80,sub-10,DMN,0.29817802645231645
81,sub-10,FPN,0.2822952263470859
82,sub-10,Motor,0.28518180298494616
83,sub-10,SAN,0.2848798316669445
84,sub-10,Subc.,0.28997968289387194
85,sub-10,VAN,0.29191267162247314
86,sub-10,Vis.,0.3018725810265431
87,sub-10,Whole Brain,0.29579668787120433
88,sub-14,Aud.,0.2720412057009739
89,sub-14,CON,0.290356827981735
90,sub-14,DAN,0.2969167198684525
91,sub-14,DMN,0.3002969841287789
92,sub-14,FPN,0.2825193590210246
93,sub-14,Motor,0.2750123030200218
94,sub-14,SAN,0.2891143831458946
95,sub-14,Subc.,0.3068534302588462
96,sub-14,VAN,0.2927317683990683
97,sub-14,Vis.,0.2940380080653759
98,sub-14,Whole Brain,0.2972663050193412
99,sub-15,Aud.,0.3003224153723982
100,sub-15,CON,0.2823710980218425
101,sub-15,DAN,0.29474254562411584
102,sub-15,DMN,0.2867542953263324
103,sub-15,FPN,0.29094012223291255
104,sub-15,Motor,0.2829409343404348
105,sub-15,SAN,0.2894693117786691
106,sub-15,Subc.,0.2959158818315755
107,sub-15,VAN,0.2946437754102798
108,sub-15,Vis.,0.2883876054632745
109,sub-15,Whole Brain,0.2906593092076775
110,sub-16,Aud.,0.2728891316323637
111,sub-16,CON,0.2921670877488168
112,sub-16,DAN,0.2941239174054566
113,sub-16,DMN,0.3032194324917094
114,sub-16,FPN,0.285894600691698
115,sub-16,Motor,0.2922552343439212
116,sub-16,SAN,0.2805498211843838
117,sub-16,Subc.,0.290816169035889
118,sub-16,VAN,0.2909004795421998
119,sub-16,Vis.,0.2965070720541962
120,sub-16,Whole Brain,0.2978243484788777
121,sub-17,Aud.,0.27434385448358756
122,sub-17,CON,0.28577479372965403
123,sub-17,DAN,0.29808991589229417
124,sub-17,DMN,0.2974650211550156
125,sub-17,FPN,0.28599797437470936
126,sub-17,Motor,0.2917833827098091
127,sub-17,SAN,0.2945473039507464
128,sub-17,Subc.,0.286956206644952
129,sub-17,VAN,0.29172482660089966
130,sub-17,Vis.,0.29478811715528425
131,sub-17,Whole Brain,0.29567589791256044
132,sub-18,Aud.,0.2767027571847086
133,sub-18,CON,0.293630610860701
134,sub-18,DAN,0.29049216276726225
135,sub-18,DMN,0.2991235304110375
136,sub-18,FPN,0.27666903689192807
137,sub-18,Motor,0.2775270876445725
138,sub-18,SAN,0.29108637551247624
139,sub-18,Subc.,0.3045931820414818
140,sub-18,VAN,0.2937963981245143
141,sub-18,Vis.,0.2977385120197852
142,sub-18,Whole Brain,0.2957876411510447
143,sub-19,Aud.,0.2687205115346402
144,sub-19,CON,0.2919238805728356
145,sub-19,DAN,0.2955823877779614
146,sub-19,DMN,0.29631402877693147
147,sub-19,FPN,0.2864784910575916
148,sub-19,Motor,0.28149317669731133
149,sub-19,SAN,0.2918396558073437
150,sub-19,Subc.,0.29621841186849734
151,sub-19,VAN,0.297210559804291
152,sub-19,Vis.,0.2955922078331242
153,sub-19,Whole Brain,0.2957739828789841
154,sub-20,Aud.,0.2676815138823696
155,sub-20,CON,0.29152639691641563
156,sub-20,DAN,0.2927732617610761
157,sub-20,DMN,0.30230712021997647
158,sub-20,FPN,0.28824603728125414
159,sub-20,Motor,0.2823135954347563
160,sub-20,SAN,0.29285540917714314
161,sub-20,Subc.,0.2959756529341661
162,sub-20,VAN,0.2954496809183713
163,sub-20,Vis.,0.2912781345866261
164,sub-20,Whole Brain,0.2967404914973576
