,subject,net2,MeanBVC
0,sub-01,Aud.,0.32124948001320386
1,sub-01,CON,0.3234050822606665
2,sub-01,DAN,0.32207564523484283
3,sub-01,DMN,0.3231701622648779
4,sub-01,FPN,0.3192768383911705
5,sub-01,Motor,0.3221489219018766
6,sub-01,SAN,0.3248547251729853
7,sub-01,Subc.,0.32208665639410067
8,sub-01,VAN,0.31522134713539873
9,sub-01,Vis.,0.32388023649701225
10,sub-01,Whole Brain,0.32263181856696144
11,sub-02,Aud.,0.3300905079504347
12,sub-02,CON,0.3260681078392383
13,sub-02,DAN,0.32044250263359497
14,sub-02,DMN,0.3205009760082337
15,sub-02,FPN,0.3225885488830388
16,sub-02,Motor,0.3234416617716326
17,sub-02,SAN,0.3195879786787351
18,sub-02,Subc.,0.3136522220101561
19,sub-02,VAN,0.32464758744400746
20,sub-02,Vis.,0.31843795246398743
21,sub-02,Whole Brain,0.3205428681500381
22,sub-03,Aud.,0.32134690221653905
23,sub-03,CON,0.31368275334474033
24,sub-03,DAN,0.3270555576707229
25,sub-03,DMN,0.3257677204888604
26,sub-03,FPN,0.3218078220060351
27,sub-03,Motor,0.3186125155894637
28,sub-03,SAN,0.31926231447728093
29,sub-03,Subc.,0.31603523414179546
30,sub-03,VAN,0.32364259272837226
31,sub-03,Vis.,0.33105008534272495
32,sub-03,Whole Brain,0.32173741582656223
33,sub-04,Aud.,0.32303157922505965
34,sub-04,CON,0.3192587395092215
35,sub-04,DAN,0.32235492357582735
36,sub-04,DMN,0.3204115914914953
37,sub-04,FPN,0.32320685430243845
38,sub-04,Motor,0.31917041653827327
39,sub-04,SAN,0.3209264271348008
40,sub-04,Subc.,0.3249164742379083
41,sub-04,VAN,0.3217538705440902
42,sub-04,Vis.,0.3226496582324644
43,sub-04,Whole Brain,0.32232037904151667
44,sub-05,Aud.,0.3226587163668589
45,sub-05,CON,0.31408393351379404
46,sub-05,DAN,0.32614130263250274
47,sub-05,DMN,0.3179935680295268
48,sub-05,FPN,0.31987634623276745
49,sub-05,Motor,0.32761225312367653
50,sub-05,SAN,0.32519562497368265
51,sub-05,Subc.,0.3136377271821059
52,sub-05,VAN,0.3217132693190876
53,sub-05,Vis.,0.3293299402850313
54,sub-05,Whole Brain,0.32175823217406135
55,sub-06,Aud.,0.316250184028222
56,sub-06,CON,0.3243377004008128
57,sub-06,DAN,0.31957229777089946
58,sub-06,DMN,0.32026122376237554
59,sub-06,FPN,0.3227193447762159
60,sub-06,Motor,0.3237173048766036
61,sub-06,SAN,0.32237921584955603
62,sub-06,Subc.,0.31935096746923514
63,sub-06,VAN,0.32476894615194424
64,sub-06,Vis.,0.3241985909215713
65,sub-06,Whole Brain,0.32244513782565964
66,sub-09,Aud.,0.32765351150354366
67,sub-09,CON,0.31816152457417124
68,sub-09,DAN,0.3248934536314018
69,sub-09,DMN,0.3205324835405103
70,sub-09,FPN,0.32336517566863954
71,sub-09,Motor,0.3260678590454649
72,sub-09,SAN,0.31807383347306284
73,sub-09,Subc.,0.3204545221689061
74,sub-09,VAN,0.3170069624436056
75,sub-09,Vis.,0.3221425910151833
76,sub-09,Whole Brain,0.32164899676860614
77,sub-10,Aud.,0.32353426131718754
78,sub-10,CON,0.3117983153553261
79,sub-10,DAN,0.32892652359864183
80,sub-10,DMN,0.32353002290862776
81,sub-10,FPN,0.32446858458862005
82,sub-10,Motor,0.31766419606685764
83,sub-10,SAN,0.31740016316487296
84,sub-10,Subc.,0.3115331429399827
85,sub-10,VAN,0.3258564866164414
86,sub-10,Vis.,0.33494314257247026
87,sub-10,Whole Brain,0.3203460747040675
88,sub-14,Aud.,0.3210612306124574
89,sub-14,CON,0.31749167899987796
90,sub-14,DAN,0.32290747916863066
91,sub-14,DMN,0.3198411647629585
92,sub-14,FPN,0.31904899432134237
93,sub-14,Motor,0.31836330430078247
94,sub-14,SAN,0.3182620819469668
95,sub-14,Subc.,0.3241631431937815
96,sub-14,VAN,0.3258907981088851
97,sub-14,Vis.,0.3324500501221368
98,sub-14,Whole Brain,0.32052098829527736
99,sub-15,Aud.,0.33408782502673173
100,sub-15,CON,0.31796457107407095
101,sub-15,DAN,0.32325695504736285
102,sub-15,DMN,0.32103024462675406
103,sub-15,FPN,0.3252669185883333
104,sub-15,Motor,0.3189024356645761
105,sub-15,SAN,0.3159535898629929
106,sub-15,Subc.,0.3218682043875537
107,sub-15,VAN,0.3189770428179096
108,sub-15,Vis.,0.32129244034758264
109,sub-15,Whole Brain,0.32140068638922853
110,sub-16,Aud.,0.3293760169229482
111,sub-16,CON,0.31692705956600503
112,sub-16,DAN,0.32429705120223645
113,sub-16,DMN,0.3214659511781571
114,sub-16,FPN,0.32530808024105795
115,sub-16,Motor,0.328656522760561
116,sub-16,SAN,0.3188656729681715
117,sub-16,Subc.,0.29315120740728573
118,sub-16,VAN,0.33396187296079993
119,sub-16,Vis.,0.3288195436673015
120,sub-16,Whole Brain,0.3191719349585726
121,sub-17,Aud.,0.3238740251815334
122,sub-17,CON,0.3140179688890298
123,sub-17,DAN,0.3270902046903873
124,sub-17,DMN,0.32187873932351774
125,sub-17,FPN,0.320123471703115
126,sub-17,Motor,0.3259738424655952
127,sub-17,SAN,0.3222042661649141
128,sub-17,Subc.,0.3058553754256901
129,sub-17,VAN,0.32493273209963297
130,sub-17,Vis.,0.3335540758117917
131,sub-17,Whole Brain,0.32049621207788903
132,sub-18,Aud.,0.3203603954778188
133,sub-18,CON,0.31815300183134343
134,sub-18,DAN,0.32581779607153544
135,sub-18,DMN,0.32408060124530025
136,sub-18,FPN,0.3220827532636287
137,sub-18,Motor,0.3169698664874429
138,sub-18,SAN,0.31899336515830556
139,sub-18,Subc.,0.31490404693946616
140,sub-18,VAN,0.3238688498741263
141,sub-18,Vis.,0.33402273379062436
142,sub-18,Whole Brain,0.3207475036935051
143,sub-19,Aud.,0.32278032224869263
144,sub-19,CON,0.3159739358250157
145,sub-19,DAN,0.323339347450984
146,sub-19,DMN,0.3190614281942727
147,sub-19,FPN,0.3223228502859249
148,sub-19,Motor,0.3209393579757548
149,sub-19,SAN,0.3221235751111149
150,sub-19,Subc.,0.3162806295949713
151,sub-19,VAN,0.32887774133850506
152,sub-19,Vis.,0.32891856003142717
153,sub-19,Whole Brain,0.3193831657764334
154,sub-20,Aud.,0.3243881338627415
155,sub-20,CON,0.3219120771472922
156,sub-20,DAN,0.32130109708736404
157,sub-20,DMN,0.32054394963734756
158,sub-20,FPN,0.3285302673089421
159,sub-20,Motor,0.32278313676966475
160,sub-20,SAN,0.32527657803408866
161,sub-20,Subc.,0.29856343862858753
162,sub-20,VAN,0.3319884347816251
163,sub-20,Vis.,0.3254550472947072
164,sub-20,Whole Brain,0.31925875328073505
