net2,MeanGVC
Aud.,0.013746748517069092
CON,0.013761293676198893
DAN,0.011580818584888596
DMN,0.008867416649909796
FPN,0.014289239639912188
Motor,0.009994458623057815
SAN,0.009393779471518884
Subc.,0.011719624125762591
VAN,0.02053022667998016
Vis.,0.009813857923094527
Whole Brain,0.006813080565543992
