,subject,net2,MeanBVC
0,sub-01,Aud.,0.2817142976067536
1,sub-01,CON,0.2876046418970424
2,sub-01,DAN,0.2858383967087898
3,sub-01,DMN,0.29112704254247046
4,sub-01,FPN,0.2824221306172948
5,sub-01,Motor,0.28462743339334545
6,sub-01,SAN,0.2901875571057646
7,sub-01,Subc.,0.28679875612517197
8,sub-01,VAN,0.28266184397127
9,sub-01,Vis.,0.28960203636335846
10,sub-01,Whole Brain,0.2877239495972562
11,sub-02,Aud.,0.2894128966867648
12,sub-02,CON,0.2887070711475869
13,sub-02,DAN,0.2854087126206079
14,sub-02,DMN,0.2847125601104713
15,sub-02,FPN,0.28419959726660304
16,sub-02,Motor,0.28668175090849196
17,sub-02,SAN,0.28504288481743467
18,sub-02,Subc.,0.2818620032222982
19,sub-02,VAN,0.2931057565333376
20,sub-02,Vis.,0.28556300816814517
21,sub-02,Whole Brain,0.2856118444467769
22,sub-03,Aud.,0.2817077039320227
23,sub-03,CON,0.27739239495735585
24,sub-03,DAN,0.2897639373175663
25,sub-03,DMN,0.2911791532261979
26,sub-03,FPN,0.2836075630953473
27,sub-03,Motor,0.2823908111312197
28,sub-03,SAN,0.28398317223410297
29,sub-03,Subc.,0.2902688123699115
30,sub-03,VAN,0.2857300397819879
31,sub-03,Vis.,0.29624866338296313
32,sub-03,Whole Brain,0.2880358344998427
33,sub-04,Aud.,0.28755032674892284
34,sub-04,CON,0.2828803364517379
35,sub-04,DAN,0.28555885614445004
36,sub-04,DMN,0.28305933164372254
37,sub-04,FPN,0.2871261292918499
38,sub-04,Motor,0.28408468181387014
39,sub-04,SAN,0.2861971282440513
40,sub-04,Subc.,0.29165768670846465
41,sub-04,VAN,0.2877541364298983
42,sub-04,Vis.,0.28738686059507973
43,sub-04,Whole Brain,0.2870526118564702
44,sub-05,Aud.,0.2827184063359591
45,sub-05,CON,0.28300968051615605
46,sub-05,DAN,0.29051795417844695
47,sub-05,DMN,0.28543325528401986
48,sub-05,FPN,0.2836012962905146
49,sub-05,Motor,0.29436451344177544
50,sub-05,SAN,0.29205767322015197
51,sub-05,Subc.,0.2769480764313367
52,sub-05,VAN,0.28233897336274116
53,sub-05,Vis.,0.29147659107168006
54,sub-05,Whole Brain,0.2878416657957364
55,sub-06,Aud.,0.28354373468739896
56,sub-06,CON,0.28629610685134926
57,sub-06,DAN,0.28761400862909664
58,sub-06,DMN,0.28358765671498765
59,sub-06,FPN,0.2835685227920773
60,sub-06,Motor,0.2866713148869304
61,sub-06,SAN,0.290648630268471
62,sub-06,Subc.,0.28580234342355826
63,sub-06,VAN,0.28812605373165906
64,sub-06,Vis.,0.28763748314243515
65,sub-06,Whole Brain,0.2868122308005544
66,sub-09,Aud.,0.29266495012394433
67,sub-09,CON,0.28123899287816534
68,sub-09,DAN,0.2899193216035094
69,sub-09,DMN,0.28450716653667174
70,sub-09,FPN,0.28650391324172564
71,sub-09,Motor,0.28721458855708104
72,sub-09,SAN,0.2848964788254452
73,sub-09,Subc.,0.28731064276487905
74,sub-09,VAN,0.2833079802571334
75,sub-09,Vis.,0.28650062265652826
76,sub-09,Whole Brain,0.2862434284834344
77,sub-10,Aud.,0.28503994438503055
78,sub-10,CON,0.279539521671095
79,sub-10,DAN,0.29423735310689
80,sub-10,DMN,0.2900667375696866
81,sub-10,FPN,0.2839594204787338
82,sub-10,Motor,0.2815778216169526
83,sub-10,SAN,0.28086278973534384
84,sub-10,Subc.,0.2784334385004979
85,sub-10,VAN,0.2908678144685859
86,sub-10,Vis.,0.29971023418004605
87,sub-10,Whole Brain,0.28601301021565556
88,sub-14,Aud.,0.27930497372412716
89,sub-14,CON,0.28450377653604575
90,sub-14,DAN,0.2889237993872854
91,sub-14,DMN,0.2890971246288153
92,sub-14,FPN,0.28174028018609365
93,sub-14,Motor,0.2779758515597043
94,sub-14,SAN,0.2833884944670248
95,sub-14,Subc.,0.2949832099753841
96,sub-14,VAN,0.2883790113731754
97,sub-14,Vis.,0.2949189179483596
98,sub-14,Whole Brain,0.2870926461425026
99,sub-15,Aud.,0.2994449632754982
100,sub-15,CON,0.2814067791255511
101,sub-15,DAN,0.28773154811409113
102,sub-15,DMN,0.28453972951941137
103,sub-15,FPN,0.2890491142082651
104,sub-15,Motor,0.28191533947369585
105,sub-15,SAN,0.28260549878753194
106,sub-15,Subc.,0.2878094480287827
107,sub-15,VAN,0.28520282205081193
108,sub-15,Vis.,0.2845332059074822
109,sub-15,Whole Brain,0.28606963743739594
