,subject,net1,net2,MeanBVC
128,sub-02,CON,Subc.,0.3223422232779637
129,sub-02,CON,Whole Brain,0.320642197469518
130,sub-02,SAN,FPN,0.3118760533550004
131,sub-02,SAN,CON,0.32238672597178913
132,sub-02,SAN,VAN,0.32491466598113894
133,sub-02,SAN,DAN,0.32057926771980605
134,sub-02,SAN,DMN,0.3161942589029567
135,sub-02,SAN,Motor,0.3205593501675582
136,sub-02,SAN,Aud.,0.31123543108831925
137,sub-02,SAN,Vis.,0.3239395450913267
138,sub-02,SAN,Subc.,0.3209745703496923
139,sub-02,SAN,Whole Brain,0.3200520190429608
140,sub-02,VAN,FPN,0.3243119160558614
141,sub-02,VAN,CON,0.33871726692742293
142,sub-02,VAN,SAN,0.32491466598113905
143,sub-02,VAN,DAN,0.33187384635273076
144,sub-02,VAN,DMN,0.3287650140643815
145,sub-02,VAN,Motor,0.33504197701072597
146,sub-02,VAN,Aud.,0.31964829293460456
147,sub-02,VAN,Vis.,0.33363118591812324
148,sub-02,VAN,Subc.,0.338682626863528
149,sub-02,VAN,Whole Brain,0.3315350021970564
150,sub-02,DAN,FPN,0.3091520247855913
151,sub-02,DAN,CON,0.320451965041484
152,sub-02,DAN,SAN,0.32057926771980605
153,sub-02,DAN,VAN,0.3318738463527307
154,sub-02,DAN,DMN,0.31808787155155804
155,sub-02,DAN,Motor,0.31513518378468625
156,sub-02,DAN,Aud.,0.31180074645290445
157,sub-02,DAN,Vis.,0.3227686289268688
158,sub-02,DAN,Subc.,0.31613385818031764
159,sub-02,DAN,Whole Brain,0.31871773963939865
160,sub-02,DMN,FPN,0.3026532367014553
161,sub-02,DMN,CON,0.3188467752372562
162,sub-02,DMN,SAN,0.3161942589029567
163,sub-02,DMN,VAN,0.3287650140643815
164,sub-02,DMN,DAN,0.31808787155155804
165,sub-02,DMN,Motor,0.31491784461714173
166,sub-02,DMN,Aud.,0.31323828618023436
167,sub-02,DMN,Vis.,0.3194110310555109
168,sub-02,DMN,Subc.,0.3167532376201439
169,sub-02,DMN,Whole Brain,0.3154762331063252
170,sub-02,Motor,FPN,0.3074658392761149
171,sub-02,Motor,CON,0.3175705826444651
172,sub-02,Motor,SAN,0.32055935016755815
173,sub-02,Motor,VAN,0.33504197701072597
174,sub-02,Motor,DAN,0.3151351837846862
175,sub-02,Motor,DMN,0.31491784461714173
176,sub-02,Motor,Aud.,0.31115082120780924
177,sub-02,Motor,Vis.,0.32223304495821214
178,sub-02,Motor,Subc.,0.31991071401581533
179,sub-02,Motor,Whole Brain,0.3169177989505293
180,sub-02,Aud.,FPN,0.3150289562699998
181,sub-02,Aud.,CON,0.30709707962187016
182,sub-02,Aud.,SAN,0.3112354310883192
183,sub-02,Aud.,VAN,0.31964829293460456
184,sub-02,Aud.,DAN,0.31180074645290445
185,sub-02,Aud.,DMN,0.31323828618023436
186,sub-02,Aud.,Motor,0.31115082120780924
187,sub-02,Aud.,Vis.,0.3170119231864396
188,sub-02,Aud.,Subc.,0.318446368346277
189,sub-02,Aud.,Whole Brain,0.3128155796088695
190,sub-02,Vis.,FPN,0.31029730236694103
191,sub-02,Vis.,CON,0.3275052439009913
192,sub-02,Vis.,SAN,0.3239395450913268
193,sub-02,Vis.,VAN,0.33363118591812324
194,sub-02,Vis.,DAN,0.3227686289268688
195,sub-02,Vis.,DMN,0.3194110310555109
196,sub-02,Vis.,Motor,0.32223304495821214
197,sub-02,Vis.,Aud.,0.3170119231864396
198,sub-02,Vis.,Subc.,0.32463624168214505
199,sub-02,Vis.,Whole Brain,0.3233552422552095
200,sub-02,Subc.,FPN,0.30667379407709666
201,sub-02,Subc.,CON,0.3223422232779638
202,sub-02,Subc.,SAN,0.3209745703496923
203,sub-02,Subc.,VAN,0.338682626863528
204,sub-02,Subc.,DAN,0.31613385818031764
205,sub-02,Subc.,DMN,0.3167532376201439
206,sub-02,Subc.,Motor,0.31991071401581533
207,sub-02,Subc.,Aud.,0.3184463683462771
208,sub-02,Subc.,Vis.,0.32463624168214505
209,sub-02,Subc.,Whole Brain,0.3199809817773077
210,sub-02,Whole Brain,FPN,0.3080759196484271
211,sub-02,Whole Brain,CON,0.320642197469518
212,sub-02,Whole Brain,SAN,0.3200520190429608
213,sub-02,Whole Brain,VAN,0.33153500219705634
214,sub-02,Whole Brain,DAN,0.31871773963939865
215,sub-02,Whole Brain,DMN,0.31547623310632517
216,sub-02,Whole Brain,Motor,0.3169177989505293
217,sub-02,Whole Brain,Aud.,0.3128155796088695
218,sub-02,Whole Brain,Vis.,0.32335524225520956
219,sub-02,Whole Brain,Subc.,0.3199809817773077
220,sub-03,FPN,CON,0.2516835514905004
221,sub-03,FPN,SAN,0.24174028358248684
222,sub-03,FPN,VAN,0.2658830544457821
223,sub-03,FPN,DAN,0.2662913862063019
224,sub-03,FPN,DMN,0.2713673088305929
225,sub-03,FPN,Motor,0.26072407987031004
226,sub-03,FPN,Aud.,0.2657370582693971
227,sub-03,FPN,Vis.,0.2802299789350165
228,sub-03,FPN,Subc.,0.284137068046795
229,sub-03,FPN,Whole Brain,0.26988852732656177
230,sub-03,CON,FPN,0.2516835514905005
231,sub-03,CON,SAN,0.24738167267845482
232,sub-03,CON,VAN,0.25297164610841094
233,sub-03,CON,DAN,0.27669204554313603
234,sub-03,CON,DMN,0.28197785671627434
