,subject,net1,net2,MeanGVC
0,sub-01,FPN,FPN,0.31545418815297505
1,sub-01,FPN,CON,0.31785925266815235
2,sub-01,FPN,SAN,0.31893497578700714
3,sub-01,FPN,VAN,0.307821089002397
4,sub-01,FPN,DAN,0.31795531530164545
5,sub-01,FPN,DMN,0.31734539430382946
6,sub-01,FPN,Motor,0.315789278500076
7,sub-01,FPN,Aud.,0.3164843869376871
8,sub-01,FPN,Vis.,0.31807566378083707
9,sub-01,FPN,Subc.,0.31632759607717237
10,sub-01,FPN,Whole Brain,0.31741204540513535
11,sub-01,CON,FPN,0.3178592526681523
12,sub-01,CON,CON,0.32587488137587184
13,sub-01,CON,SAN,0.32344746372400834
14,sub-01,CON,VAN,0.31028185504377515
15,sub-01,CON,DAN,0.32430589167243407
16,sub-01,CON,DMN,0.32234003316538873
17,sub-01,CON,Motor,0.32181027950364166
18,sub-01,CON,Aud.,0.3180690851796571
19,sub-01,CON,Vis.,0.324200677321253
20,sub-01,CON,Subc.,0.3213979707247123
21,sub-01,CON,Whole Brain,0.3215749274558763
22,sub-01,SAN,FPN,0.3189349757870072
23,sub-01,SAN,CON,0.32344746372400834
24,sub-01,SAN,SAN,0.3228265405011881
25,sub-01,SAN,VAN,0.3112459364332103
26,sub-01,SAN,DAN,0.3241621795290727
27,sub-01,SAN,DMN,0.32450774252867975
28,sub-01,SAN,Motor,0.3243630951364956
29,sub-01,SAN,Aud.,0.3224095269459246
30,sub-01,SAN,Vis.,0.3258775543765057
31,sub-01,SAN,Subc.,0.32172521314954045
32,sub-01,SAN,Whole Brain,0.32311017797164215
33,sub-01,VAN,FPN,0.307821089002397
34,sub-01,VAN,CON,0.31028185504377515
35,sub-01,VAN,SAN,0.31124593643321025
36,sub-01,VAN,VAN,0.3055030149482938
37,sub-01,VAN,DAN,0.3134790143275589
38,sub-01,VAN,DMN,0.3149244215235848
39,sub-01,VAN,Motor,0.3149063875854998
40,sub-01,VAN,Aud.,0.3119208718625075
41,sub-01,VAN,Vis.,0.314278613427065
42,sub-01,VAN,Subc.,0.31184002979394526
43,sub-01,VAN,Whole Brain,0.3127518662066774
44,sub-01,DAN,FPN,0.31795531530164545
45,sub-01,DAN,CON,0.32430589167243407
46,sub-01,DAN,SAN,0.32416217952907267
47,sub-01,DAN,VAN,0.3134790143275589
48,sub-01,DAN,DAN,0.3189826928609902
49,sub-01,DAN,DMN,0.3199613027737022
50,sub-01,DAN,Motor,0.3161744689464528
51,sub-01,DAN,Aud.,0.3172871451109937
52,sub-01,DAN,Vis.,0.3195903018035196
53,sub-01,DAN,Subc.,0.31937652563935387
54,sub-01,DAN,Whole Brain,0.31970092109592885
55,sub-01,DMN,FPN,0.3173453943038294
56,sub-01,DMN,CON,0.32234003316538873
57,sub-01,DMN,SAN,0.32450774252867975
58,sub-01,DMN,VAN,0.3149244215235848
59,sub-01,DMN,DAN,0.31996130277370227
60,sub-01,DMN,DMN,0.32270398463537026
61,sub-01,DMN,Motor,0.32039779442383026
62,sub-01,DMN,Aud.,0.31970362826100157
63,sub-01,DMN,Vis.,0.32129079382248094
64,sub-01,DMN,Subc.,0.3211781168256806
65,sub-01,DMN,Whole Brain,0.32128900887283407
66,sub-01,Motor,FPN,0.31578927850007593
67,sub-01,Motor,CON,0.32181027950364166
68,sub-01,Motor,SAN,0.3243630951364955
69,sub-01,Motor,VAN,0.3149063875854998
70,sub-01,Motor,DAN,0.3161744689464528
71,sub-01,Motor,DMN,0.32039779442383026
72,sub-01,Motor,Motor,0.31853537656409475
73,sub-01,Motor,Aud.,0.31927326813980483
74,sub-01,Motor,Vis.,0.321960430250475
75,sub-01,Motor,Subc.,0.3178049224678971
76,sub-01,Motor,Whole Brain,0.3202459079168273
77,sub-01,Aud.,FPN,0.3164843869376871
78,sub-01,Aud.,CON,0.3180690851796571
79,sub-01,Aud.,SAN,0.3224095269459246
80,sub-01,Aud.,VAN,0.31192087186250744
81,sub-01,Aud.,DAN,0.3172871451109937
82,sub-01,Aud.,DMN,0.31970362826100157
83,sub-01,Aud.,Motor,0.31927326813980483
84,sub-01,Aud.,Aud.,0.32192105089304707
85,sub-01,Aud.,Vis.,0.3202325666449201
86,sub-01,Aud.,Subc.,0.31890595123738885
87,sub-01,Aud.,Whole Brain,0.3194449836643866
88,sub-01,Vis.,FPN,0.31807566378083707
89,sub-01,Vis.,CON,0.324200677321253
90,sub-01,Vis.,SAN,0.3258775543765057
91,sub-01,Vis.,VAN,0.314278613427065
92,sub-01,Vis.,DAN,0.31959030180351966
93,sub-01,Vis.,DMN,0.32129079382248094
94,sub-01,Vis.,Motor,0.321960430250475
95,sub-01,Vis.,Aud.,0.3202325666449201
96,sub-01,Vis.,Vis.,0.31993944147457476
97,sub-01,Vis.,Subc.,0.3230271341701546
98,sub-01,Vis.,Whole Brain,0.32150524322514573
99,sub-01,Subc.,FPN,0.31632759607717226
100,sub-01,Subc.,CON,0.3213979707247123
101,sub-01,Subc.,SAN,0.32172521314954045
102,sub-01,Subc.,VAN,0.3118400297939454
103,sub-01,Subc.,DAN,0.31937652563935387
104,sub-01,Subc.,DMN,0.3211781168256806
105,sub-01,Subc.,Motor,0.3178049224678971
106,sub-01,Subc.,Aud.,0.31890595123738885
107,sub-01,Subc.,Vis.,0.3230271341701546
108,sub-01,Subc.,Subc.,0.3219479400206019
109,sub-01,Subc.,Whole Brain,0.32051971770739507
110,sub-01,Whole Brain,FPN,0.31741204540513535
111,sub-01,Whole Brain,CON,0.3215749274558763
112,sub-01,Whole Brain,SAN,0.32311017797164215
113,sub-01,Whole Brain,VAN,0.3127518662066774
114,sub-01,Whole Brain,DAN,0.31970092109592885
115,sub-01,Whole Brain,DMN,0.32128900887283407
116,sub-01,Whole Brain,Motor,0.3202459079168273
117,sub-01,Whole Brain,Aud.,0.3194449836643867
118,sub-01,Whole Brain,Vis.,0.3215052432251458
119,sub-01,Whole Brain,Subc.,0.32051971770739507
120,sub-01,Whole Brain,Whole Brain,0.3206906813336006
121,sub-02,FPN,FPN,0.3276977253499931
122,sub-02,FPN,CON,0.33492962805347576
123,sub-02,FPN,SAN,0.3274019642154606
124,sub-02,FPN,VAN,0.33329604076556546
125,sub-02,FPN,DAN,0.32757277395432977
126,sub-02,FPN,DMN,0.32454029606816653
127,sub-02,FPN,Motor,0.33040211490282306
128,sub-02,FPN,Aud.,0.3450649073100435
129,sub-02,FPN,Vis.,0.32374257348190816
130,sub-02,FPN,Subc.,0.3179305742278793
131,sub-02,FPN,Whole Brain,0.32685395009109675
132,sub-02,CON,FPN,0.33492962805347576
133,sub-02,CON,CON,0.33943205780335234
134,sub-02,CON,SAN,0.32982362601756515
135,sub-02,CON,VAN,0.33822136778747774
136,sub-02,CON,DAN,0.33048896635281577
137,sub-02,CON,DMN,0.33262771535226127
138,sub-02,CON,Motor,0.33547602150073974
139,sub-02,CON,Aud.,0.33855569301567784
140,sub-02,CON,Vis.,0.33121577975882244
141,sub-02,CON,Subc.,0.3233700528299169
142,sub-02,CON,Whole Brain,0.33182156196399226
143,sub-02,SAN,FPN,0.3274019642154606
144,sub-02,SAN,CON,0.32982362601756515
145,sub-02,SAN,SAN,0.3262599816636157
146,sub-02,SAN,VAN,0.32480717870419584
147,sub-02,SAN,DAN,0.3268903867475782
148,sub-02,SAN,DMN,0.32423482534243936
149,sub-02,SAN,Motor,0.32842045496440664
150,sub-02,SAN,Aud.,0.33370850477333447
151,sub-02,SAN,Vis.,0.3226425419039535
152,sub-02,SAN,Subc.,0.3185292602349532
153,sub-02,SAN,Whole Brain,0.32527037812382553
154,sub-02,VAN,FPN,0.3332960407655655
155,sub-02,VAN,CON,0.33822136778747774
156,sub-02,VAN,SAN,0.3248071787041959
157,sub-02,VAN,VAN,0.33149233717410453
158,sub-02,VAN,DAN,0.3299527765935694
159,sub-02,VAN,DMN,0.3314623110467197
160,sub-02,VAN,Motor,0.33581321027555283
161,sub-02,VAN,Aud.,0.3382838011737793
162,sub-02,VAN,Vis.,0.3262108524647634
163,sub-02,VAN,Subc.,0.32395698467289913
164,sub-02,VAN,Whole Brain,0.3303206851959132
165,sub-02,DAN,FPN,0.32757277395432977
166,sub-02,DAN,CON,0.33048896635281577
167,sub-02,DAN,SAN,0.32689038674757814
168,sub-02,DAN,VAN,0.3299527765935694
169,sub-02,DAN,DAN,0.32360756934891965
170,sub-02,DAN,DMN,0.3269971043024896
171,sub-02,DAN,Motor,0.3261586550038422
172,sub-02,DAN,Aud.,0.33662413047851625
173,sub-02,DAN,Vis.,0.3232291222884437
174,sub-02,DAN,Subc.,0.3166980689066374
175,sub-02,DAN,Whole Brain,0.3256623759480893
176,sub-02,DMN,FPN,0.32454029606816653
177,sub-02,DMN,CON,0.33262771535226127
178,sub-02,DMN,SAN,0.32423482534243936
179,sub-02,DMN,VAN,0.3314623110467197
180,sub-02,DMN,DAN,0.32699710430248957
181,sub-02,DMN,DMN,0.3226688802858009
182,sub-02,DMN,Motor,0.3279441500516629
183,sub-02,DMN,Aud.,0.3378613983133496
184,sub-02,DMN,Vis.,0.3228229528502025
185,sub-02,DMN,Subc.,0.31742179094827705
186,sub-02,DMN,Whole Brain,0.3249465500471302
187,sub-02,Motor,FPN,0.330402114902823
188,sub-02,Motor,CON,0.33547602150073974
189,sub-02,Motor,SAN,0.32842045496440664
190,sub-02,Motor,VAN,0.33581321027555283
191,sub-02,Motor,DAN,0.3261586550038423
192,sub-02,Motor,DMN,0.3279441500516629
193,sub-02,Motor,Motor,0.326533117027339
194,sub-02,Motor,Aud.,0.33951279077473046
195,sub-02,Motor,Vis.,0.32672140977966835
196,sub-02,Motor,Subc.,0.3219228158514417
197,sub-02,Motor,Whole Brain,0.32789432885181913
198,sub-02,Aud.,FPN,0.34506490731004347
199,sub-02,Aud.,CON,0.3385556930156778
200,sub-02,Aud.,SAN,0.3337085047733344
201,sub-02,Aud.,VAN,0.3382838011737794
202,sub-02,Aud.,DAN,0.33662413047851625
203,sub-02,Aud.,DMN,0.3378613983133496
204,sub-02,Aud.,Motor,0.3395127907747304
205,sub-02,Aud.,Aud.,0.3383002826792919
206,sub-02,Aud.,Vis.,0.3333931924399823
207,sub-02,Aud.,Subc.,0.3275962330942578
208,sub-02,Aud.,Whole Brain,0.3361537623710368
209,sub-02,Vis.,FPN,0.32374257348190816
210,sub-02,Vis.,CON,0.33121577975882244
211,sub-02,Vis.,SAN,0.3226425419039534
212,sub-02,Vis.,VAN,0.32621085246476345
213,sub-02,Vis.,DAN,0.3232291222884437
214,sub-02,Vis.,DMN,0.3228229528502025
215,sub-02,Vis.,Motor,0.32672140977966835
216,sub-02,Vis.,Aud.,0.3333931924399823
217,sub-02,Vis.,Vis.,0.32193087750461946
218,sub-02,Vis.,Subc.,0.3164208921701564
219,sub-02,Vis.,Whole Brain,0.3238295417423351
220,sub-02,Subc.,FPN,0.31793057422787924
221,sub-02,Subc.,CON,0.3233700528299168
222,sub-02,Subc.,SAN,0.31852926023495315
223,sub-02,Subc.,VAN,0.3239569846728991
224,sub-02,Subc.,DAN,0.31669806890663743
225,sub-02,Subc.,DMN,0.3174217909482771
226,sub-02,Subc.,Motor,0.3219228158514417
227,sub-02,Subc.,Aud.,0.3275962330942579
228,sub-02,Subc.,Vis.,0.3164208921701564
229,sub-02,Subc.,Subc.,0.31156115682255797
230,sub-02,Subc.,Whole Brain,0.3185248814055038
231,sub-02,Whole Brain,FPN,0.32685395009109675
232,sub-02,Whole Brain,CON,0.33182156196399226
233,sub-02,Whole Brain,SAN,0.3252703781238256
