,subject,net2,MeanBVC
0,sub-01,Aud.,0.3095163293444062
1,sub-01,CON,0.3351874197775472
2,sub-01,DAN,0.3328560837842812
3,sub-01,DMN,0.3483386648622882
4,sub-01,FPN,0.3252787269470915
5,sub-01,Motor,0.3224940099153627
6,sub-01,SAN,0.346830738200549
7,sub-01,Subc.,0.3354046484899447
8,sub-01,VAN,0.3399085583252789
9,sub-01,Vis.,0.3387276241808606
10,sub-01,Whole Brain,0.33697482226163467
11,sub-02,Aud.,0.31705929885270057
12,sub-02,CON,0.33466230263867913
13,sub-02,DAN,0.3345455511797856
14,sub-02,DMN,0.32997313290004027
15,sub-02,FPN,0.3183513888803378
16,sub-02,Motor,0.32968504840179025
17,sub-02,SAN,0.33689871375076597
18,sub-02,Subc.,0.3412166117480014
19,sub-02,VAN,0.3542208204059107
20,sub-02,Vis.,0.3410104501104116
21,sub-02,Whole Brain,0.33389430722082203
22,sub-03,Aud.,0.310613457743144
23,sub-03,CON,0.32958451774111824
24,sub-03,DAN,0.33805191956158376
25,sub-03,DMN,0.34278390730893193
26,sub-03,FPN,0.32179200084449555
27,sub-03,Motor,0.32064116871403375
28,sub-03,SAN,0.3255148303631091
29,sub-03,Subc.,0.36788450329395483
30,sub-03,VAN,0.327165631338768
31,sub-03,Vis.,0.3467876973637161
32,sub-03,Whole Brain,0.34069799181639027
33,sub-04,Aud.,0.32984997210955214
34,sub-04,CON,0.3285475159820336
35,sub-04,DAN,0.334030055882992
36,sub-04,DMN,0.32290939384401784
37,sub-04,FPN,0.3340288685700148
38,sub-04,Motor,0.3272703497520054
39,sub-04,SAN,0.33984835736638846
40,sub-04,Subc.,0.3502511472960846
41,sub-04,VAN,0.3339954481359819
42,sub-04,Vis.,0.3347172668142256
43,sub-04,Whole Brain,0.33606925033594887
44,sub-05,Aud.,0.31243856669179015
45,sub-05,CON,0.33848147111611915
46,sub-05,DAN,0.3416269810422023
47,sub-05,DMN,0.33846382078758497
48,sub-05,FPN,0.3203365040866452
49,sub-05,Motor,0.3411695939283263
50,sub-05,SAN,0.3443428949100215
51,sub-05,Subc.,0.3304887462168964
52,sub-05,VAN,0.32305082477761216
53,sub-05,Vis.,0.3421770813237808
54,sub-05,Whole Brain,0.3389411412082656
55,sub-06,Aud.,0.3356022690462101
56,sub-06,CON,0.3286135151863817
57,sub-06,DAN,0.34021538680804103
58,sub-06,DMN,0.3276359064021632
59,sub-06,FPN,0.3249374514951135
60,sub-06,Motor,0.3332564957433442
61,sub-06,SAN,0.35000801907996776
62,sub-06,Subc.,0.3374133871884368
63,sub-06,VAN,0.3299447787704914
64,sub-06,Vis.,0.3303732120780204
65,sub-06,Whole Brain,0.3335172042910747
66,sub-09,Aud.,0.32741433844562157
67,sub-09,CON,0.32682916667712003
68,sub-09,DAN,0.34190108334160507
69,sub-09,DMN,0.327568583304891
70,sub-09,FPN,0.3264659972870623
71,sub-09,Motor,0.3257632636942023
72,sub-09,SAN,0.3425748531269236
73,sub-09,Subc.,0.3438269649597153
74,sub-09,VAN,0.3413074074377252
75,sub-09,Vis.,0.3338776937705735
76,sub-09,Whole Brain,0.3339882740438045
77,sub-10,Aud.,0.31904432417553147
78,sub-10,CON,0.33366942528932136
79,sub-10,DAN,0.3468330497509796
80,sub-10,DMN,0.33942039640229654
81,sub-10,FPN,0.3194010999208971
82,sub-10,Motor,0.3251965504351443
83,sub-10,SAN,0.32857731264627615
84,sub-10,Subc.,0.3345442135469746
85,sub-10,VAN,0.3378179955601753
86,sub-10,Vis.,0.3516834724153458
87,sub-10,Whole Brain,0.3353297859463038
88,sub-14,Aud.,0.3054671727697339
89,sub-14,CON,0.33387820165978466
90,sub-14,DAN,0.3420910117257023
91,sub-14,DMN,0.3454164932651829
92,sub-14,FPN,0.31947546263770443
93,sub-14,Motor,0.3162076954570799
94,sub-14,SAN,0.33640574251200467
95,sub-14,Subc.,0.35722120104804866
96,sub-14,VAN,0.337539119666029
97,sub-14,Vis.,0.33893838905085366
98,sub-14,Whole Brain,0.33887713629712185
99,sub-15,Aud.,0.3398032888905053
100,sub-15,CON,0.32442560080235566
101,sub-15,DAN,0.3403428220146195
102,sub-15,DMN,0.32902146384212594
103,sub-15,FPN,0.33209097910254715
104,sub-15,Motor,0.3226941534982225
105,sub-15,SAN,0.3350741058868628
106,sub-15,Subc.,0.3417340876404956
107,sub-15,VAN,0.3410791621174001
108,sub-15,Vis.,0.3312988360309067
109,sub-15,Whole Brain,0.3339531262632037
110,sub-16,Aud.,0.3057044886701298
111,sub-16,CON,0.3353711618370416
112,sub-16,DAN,0.3425693534537456
113,sub-16,DMN,0.3480920232189103
114,sub-16,FPN,0.3229354347926685
115,sub-16,Motor,0.33127849668208376
