net2,MeanBVC
Aud.,234.43892349099073
CON,229.2381645501509
DAN,228.1290616259814
DMN,229.95878363974876
FPN,226.88257138985313
Motor,235.74675545427706
SAN,223.044551868049
Subc.,225.7980687877686
VAN,232.72342671778026
Vis.,223.73190125243195
Whole Brain,226.32155119158423
